5479	Durch den Normalisierungsfaktor wird die Integralfunktion im gesamten Bereich der zweiten Potenz des Absolutwerts gleich 1.	The normalization factor makes the integral over all space of the square of the absolute value equal to 1.	The normalization factor makes the integral function equal to 1 over the entire range of the second power of the absolute value.	The normalization factor makes the integral equal to 1 over the entire space of the square of the absolute value.	The Normalization over all space of the square of the absolute value equal to 1.	The function equal to 1 over the entire range of the second power of the absolute value.
2188	In der richtigen Fortsetzung trifft Superman jedoch den jetzigen Zod zum ersten Mal in „Kryptons letzter Sohn”.	However, in true continuity, Superman meets the current Zod for the first time in ``Last Son ''.	In the real sequel, however, Superman first meets the now-Zod in "Krypton's Last Son."	In real continuity, Superman in ``Last Son ''meets the current Zod for the first time.	However, in meets the current Zod for the first time in "last son ".	In however, Superman first meets the Now-Zod in "Krypton's last son . "
5936	Außerdem sind die Gruppen Air, Howie B, Mars IV, Les Négresses Vertes, FFF und Manu Chao auf dem Album zu hören.	Also the groups ''Air ``, Howie B, Mars IV, Les Négresses Vertes and FFF and Manu Chao attended the album.	Also featured on the album are groups Air, Howie B, Mars IV, Les Négresses Vertes, FFF and Manu Chao.	Cassius, the groups ``Air '', Howie B, Mars IV, Les Négresses Vertes and FFF, and Manu Chao also participated in the album.	Also the groups ", Mars IV, Les Négresses Vertes and Fff and Manu Chao attended the album.	Also featured on, Howie B, Mars IV, Les Négresses Vertes, Fff and Manu Chao.
5274	Am 20. Februar 1959 beendete Premierminister John Diefenbaker das Projekt und besiegelte das Ende der fünf zerschlagenen Arrows.	On February 20, 1959, Prime Minister John Diefenbaker terminated the project and the five dismantled Arrows were completed.	On February 20, 1959, Prime Minister John Diefenbaker ended the project and sealed the end of the five smashed Arrows.	On February 20, 1959, Prime Minister John Diefenbaker finished the project and the five dismantled arrows were completed.	On, Prime Minister John Diefenbaker terminated the project and the five dismantled arrows were completed.	On February 20, Diefenbaker ended the project and sealed the end of the five smashed arrows.
2240	Die Schiffe der Siegfried-Klasse hatten eine große Gesamtlänge und eine lange Wasserlinie.	The ships of the Siegfried class were long overall at the waterline and long.	The ships of the Siegfried class had a large overall length and a long waterline.	The ships of the Siegfried class were overall long and long on the waterline.	The Siegfried class were long overall at the waterline and long.	The Siegfried class had a large overall length and a long waterline.
2843	Er wurde am 5. Mai 1940 in Konstantinopel (Istanbul) geboren und starb am 19. November 2011 in Athen an Krebs.	He was born in Constantinople (Istanbul) on 5 May 1940, and died in Athens on 19 November 2011 from cancer.	He was born on May 5, 1940 in Constantinople (Istanbul) and died of cancer on November 19, 2011 in Athens.	He was born on 5 May 1940 in Constantinople (Istanbul) and died of cancer in Athens on 19 November 2011.	He Istanbul) on 5 may 1940, and died in Athens on 19 November 2011 from cancer.	He was born in Constantinople (Istanbul) and died of cancer on November 19, 2011 in Athens.
1914	Brough and Shatton ist eine politische Gemeinde in Hope Valley im Distrikt High Peak der Grafschaft Derbyshire, England.	Brough and Shatton is a civil parish in Hope Valley in the High Peak district of Derbyshire, England.	Brough and Shatton is a parish in Hope Valley, High Peak, Derbyshire, England.	Brough and Shatton is a municipality in Hope Valley in the Derbyshire High Peak district of England.	Brough and parish in hope Valley in the high peak District of Derbyshire, England.	Brough and parish in hope Valley, high peak, Derbyshire, England.
3862	Die Music Hall wurde zuerst 1862 von Paris nach London importiert und wurde ungemein beliebt, mit Tänzern, Sängern, Akrobaten, Zauberern und dressierten Tieren.	The music hall was first imported to London from Paris in 1862, and became enormously popular, with dancers, singers, acrobats, magicians trained animals.	The Music Hall was first imported to London from Paris in 1862 and became immensely popular, with dancers, singers, acrobats, magicians and trained animals.	The music hall was first imported from Paris to London in 1862 and became enormously popular, with dancers, singers, acrobats, and mage-trained animals.	The music hall was first 1862, and became enormously popular, with dancers, singers, acrobats, magicians trained animals.	The London from Paris in 1862 and became immensely popular, with dancers, singers, acrobats, magicians and trained animals.
1199	Bei einer alternierenden Turingmaschine verwenden wir die Ressource ATIME.	If we have an alternating Turing machine, we use the resource ATIME.	For an alternating Turing machine, we use the ATIME resource.	When we have an alternating turing machine, we use the resource ATIME.	An alternating Turing machine, we use the resource Atime.	Alternating Turing machine, we use the Atime resource.
4420	Er war 1947 ein erfolgloser Kandidat für den Richter von South Bend City und 1948 für die Staatsanwaltschaft von Saint Joseph County.	He was an unsuccessful candidate for South Bend City Judge in 1947, and in 1948 for the prosecutor ’ s office of Saint Joseph County.	He was an unsuccessful candidate for the South Bend City judge in 1947 and for the Saint Joseph County Attorney in 1948.	He was an unsuccessful candidate in 1947 for South Bend city judge and in 1948 for prosecutor of Saint Joseph County.	For South bend city judge in 1947, and in 1948 for the Prosecutor ’ s office of Saint Joseph County.	He the South bend city judge in 1947 and for the saint Joseph County attorney in 1948.
2524	Long wurde in Israel geboren, wanderte als junger Mann nach Australien aus und ließ sich dort 1961 nieder.	Long was born in Israel, migrated as a young man to Australia and settled there in 1961.	Born in Israel, Long immigrated to Australia as a young man and settled there in 1961.	Born in Israel, Lang migrated to Australia as a young man and settled there in 1961.	Long, migrated as a young man to Australia and settled there in 1961.	Born in Israel Australia as a young man and settled there in 1961.
1260	Der Tempel dient Hindus aus Südasien und Einwanderern aus Nord- und Südkorea als kulturelles und religiöses Zentrum.	The temple serves as a cultural and religious centre for South Asian Hindus and immigrants from the Korean countries.	The temple serves as a cultural and religious center for Hindus from South Asia and immigrants from North and South Korea.	The temple serves as the cultural and religious center for South Asian Hindus and immigrants from Korean countries.	The cultural and religious centre for South Asian Hindus and immigrants from the Korean countries.	A cultural and religious center for Hindus from South Asia and immigrants from North and South Korea.
6453	Alexander Baumgartner (geboren am 27. Juni 1841 in St. Gallen, Schweiz, gestorben 1910 in Luxemburg) war ein Dichter und Literaturgeschichtsschreiber.	Alexander Baumgartner (born June 27, 1841 in St. Gallen, Switzerland; died in 1910 in Luxembourg) was a poet and writer on the history of literature.	Alexander Baumgartner (born June 27, 1841 in St. Gallen, Switzerland, died 1910 in Luxembourg) was a poet and literary historian.	Alexander Baumgartner (born in St. Gall, Switzerland, 27 June 1841; died Luxembourg, 1910) was a poet and writer on the history of literature.	Alexander Baumgartner (born Gallen, Switzerland; died in 1910 in Luxembourg) was a poet and writer on the history of literature.	Alexander Baumgartner (in St. Gallen, Switzerland, died 1910 in Luxembourg) was a poet and literary historian.
5601	Schließlich veröffentlichte er im „Western Republican” eine der ersten botanischen Sammlungen, die in Ohio von einem professionellen Botaniker veröffentlicht wurden.	He eventually made, in ``Western Republican '', one of the first botanical collections published in Ohio by a professional botanist.	Eventually he published in the Western Republican one of the first botanical collections published in Ohio by a professional botanist.	He eventually made, in the ``Western Republican '', one of the first botanical collections published in Ohio by a professional botanist.	He eventually Republican ", one of the first botanical collections published in Ohio by a professional Botanist.	Eventually he Republican one of the first botanical collections published in Ohio by a professional Botanist.
3147	2012 wurde von Lenstra, Hughes, Augier, Bos, Kleinjung und Wachter  eine Analyse angekündigt, bei der Millionen öffentlicher RSA-Schlüssel aus dem Internet verglichen wurden.	An analysis comparing millions of RSA public keys gathered from the Internet was announced in 2012 by Lenstra, Hughes, Augier, Bos, Kleinjung, and Wachter.	In 2012, Lenstra, Hughes, Augier, Bos, Kleinjung, and Wachter announced an analysis comparing millions of RSA public keys from around the web.	An analysis of millions of public RSA keys collected from the Internet was announced in 2012 by Lenstra, Hughes, Augier, Bos, Kleinjung and Wachter.	An analysis comparing from the Internet was announced in 2012 by Lenstra, Hughes, Augier, Bos, Kleinjung, and Wachter.	In 2012, Lenstra, Kleinjung, and Wachter announced an analysis comparing millions of Rsa public Keys from around the web.
2769	An Bord des Flugzeugs waren Lieutenant Colonel Gerald K. Hannaford, Captain Donald Grant Millard und Captain John F. Lorraine.	The occupants of the aircraft were Lieutenant Colonel Gerald K. Hannaford, Captain Donald Grant Millard and Captain John F. Lorraine.	Aboard the aircraft were Lieutenant Colonel Gerald K. Hannaford, Captain Donald Grant Millard, and Captain John F. Lorraine.	The occupants of the aircraft were Colonel Gerald K. Hannaford, Captain Donald Grant Millard and Captain John F. Lorraine.	The were Lieutenant Colonel Gerald K. Hannaford, Captain Donald grant Millard and Captain John F. Lorraine.	Aboard Colonel Gerald K. Hannaford, Captain Donald grant Millard, and Captain John F. Lorraine.
4774	43 Personen wurde gerettet, 40 in Rettungsbooten und drei von der Delaware.	43 people were saved, 40 were rescued in the lifeboats and three by the ``Delaware ''.	43 people were rescued, 40 in lifeboats and three by the Delaware.	43 people were rescued, 40 in the lifeboats and three saved by the ``Delaware ''.	43 people were rescued in the lifeboats and three by the "Delaware ".	43 people 40 in lifeboats and three by the Delaware.
6236	Er arbeitete mit zeitgenössischen Architekten wie Francesco Grimaldi, Bartolomeo Picchiatti und Giovan Giacomo Di Conforto zusammen.	He worked together with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He collaborated with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He has collaborated with contemporary architects such as Giovan Giacomo Di Conforto, Bartolomeo Picchiatti and Francesco Grimaldi.	He worked such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He collaborated with Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.
3268	Dies ist eine brillante Wiedergabe von lilafarbenem Licht und dramatischem Sonnenschein.	It is a brilliant rendering of purple lights and dramatic sunshine.	This is a brilliant rendition of purple light and dramatic sunshine.	It is a brilliant rendition of purple lights and dramatic sunshine.	It brilliant rendering of purple lights and dramatic sunshine.	This brilliant rendition of purple light and dramatic sunshine.
5353	Die obenstehenden Beispiele für den possessiven Wortstamm „-m” standen in der ersten Person Singular.	The above examples for the possessive theme ``-m ''were for the first person singular.	The above examples of the possessive stem "-m" were in the first person singular.	The above examples for the possessive theme ``-m ''were singular to the first person.	The above possessive theme "-M "were for the first person singular.	The the possessive stem "-M "were in the first person singular.
157	„T“ ist einer Matrix ähnlich, deren kanonische Einträge bei der Jordanschen nicht-Null-Form auf der Superdiagonalen liegen.	``T ''is similar to a matrix whose canonical entries are on the superdiagonal, by the Jordan only non-zero form.	“T” is similar to a matrix whose canonical entries lie on the superdiagonal in non-zero Jordanian form.	``T ''is similar to a matrix whose canonical entries are on the superdiagonal form of the Jordan non-zero.	"t "whose Canonical entries are on the Superdiagonal, by the Jordan only Non-Zero form.	Similar to a Matrix whose Canonical entries lie on the Superdiagonal in Non-Zero Jordanian form.
971	McMillan verbrachte zwei Jahre beim Royal Medical Corp. in Tidworth und später in Didcot, wo er eine MRS für Soldaten durchführte, die im Koreakrieg verwundet worden waren.	McMillan spent two years at the Royal Medical Corp. in Tidworth -- and later at Didcot, where he operated an MRS for soldiers injured in Korean War.	McMillan spent two years with the Royal Medical Corp. at Tidworth and later at Didcot, where he conducted MRS for soldiers wounded in the Korean War.	McMillan spent two years in the Royal Medical Corp. at Tidworth -- and later at Didcot, where he ran an MRS for soldiers injured in the Korean War.	Mcmillan medical Corp. in Tidworth--and later at Didcot, where he operated an Mrs for soldiers injured in Korean war.	Mcmillan medical Corp. at Tidworth and later at Didcot, where he conducted Mrs for soldiers wounded in the Korean war.
1605	Die Station „Holbrook“ schloss im Jahr 1962, so dass der nächste Zugang zur Linie über die Ronkonkoma oder die Medford Station erfolgt.	The Holbrook station closed in 1962, so the nearest access to the line is at the Ronkonkoma station or Medford station.	The Holbrook station closed in 1962, so the closest access to the line is through Ronkonkoma or Medford station.	The Holbrook station was closed in 1962, so the nearest access to the line is at Ronkonkoma Station or Medford Station.	1962, so the nearest access to the line is at the Ronkonkoma station or Medford station.	The 1962, so the closest access to the line is through Ronkonkoma or Medford station.
6047	Er arbeitete mit zeitgenössischen Architekten wie Giovan Giacomo Di Conforto , Bartolomeo Picchiatti und Francesco Grimaldi.	He collaborated with contemporary architects such as Giovan Giacomo Di Conforto, Bartolomeo Picchiatti and Francesco Grimaldi.	He worked with contemporary architects such as Giovan Giacomo Di Conforto, Bartolomeo Picchiatti and Francesco Grimaldi.	He has collaborated with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He collaborated with Giovan Giacomo Di Conforto, Bartolomeo Picchiatti and Francesco Grimaldi.	He worked with Giovan Giacomo Di Conforto, Bartolomeo Picchiatti and Francesco Grimaldi.
5685	Apollonia ist das heutige Sosopol in Bulgarien, und Selymbria heißt heute Silivri und liegt an der Marmaraküste.	Apollonia corresponds to modern Sozopol, in Bulgaria, and Selymbria is Silivri, on the Marmara coast.	Apollonia is today's Sozopol in Bulgaria, and Selymbria is now called Silivri and is on the Marmara coast.	Apollonia corresponds to the modern Sozopol in Bulgaria, and Selymbria is Silivri on the Marmara coast.	Apollonia, in Bulgaria, and Selymbria is Silivri, on the Marmara coast.	Apollonia is Bulgaria, and Selymbria is now called Silivri and is on the Marmara coast.
4967	Im Juli 2017 war Nate DiMeo Thema einer Folge von „The Memory Palace” mit Elmer McCurdy.	In July 2017, Nate DiMeo was the subject of an episode ``The Memory Palace ''with Elmer McCurdy.	In July 2017, Nate DiMeo was the subject of an episode of "The Memory Palace" starring Elmer McCurdy.	In July 2017, Nate DiMeo was the subject of an episode of ``The Memory Palace ''with Elmer McCurdy.	Nate Dimeo was the subject of an episode "the memory Palace "with Elmer Mccurdy.	Nate Dimeo was the subject of an episode of "the memory Palace "starring Elmer Mccurdy.
2680	Das Drehbuch wurde von Dhawans langjährigen Partner Anees Bazmee und Rumi Jaffery geschrieben.	The screenplay was written by Dhawan's longtime collaborator Anees Bazmee and Rumi Jaffery.	The screenplay was written by Dhawan's longtime partners Anees Bazmee and Rumi Jaffery.	The script was written by Dhawan's longtime collaborator Anees Bazmee and Rumi Jaffery.	The by Dhawan's longtime collaborator Anees Bazmee and Rumi Jaffery.	Written by Dhawan's longtime partners Anees Bazmee and Rumi Jaffery.
1941	Navarro ist ein Partido in der Provinz Buenos Aires im Nordosten Argentiniens.	Navarro is a partido in the northeast of Argentina in Buenos Aires Province.	Navarro is a partido in the province of Buenos Aires in northeastern Argentina.	Navarro is a partido in the northeast of Argentina in the province of Buenos Aires.	Partido in the northeast of Argentina in Buenos Aires province.	Navarro in the province of Buenos Aires in northeastern Argentina.
2933	In anderen Artikeln spendet es den wirtschaftlichen Grundgedanken des Schuman-Plans Beifall und lobte die Erweiterung des europäischen Binnenmarktes.	In other articles, it applauded the economic ideas underlying the Schuman plan and praised the expansion of the common European market.	In other articles, it applauded the economic rationale behind the Schuman Plan and praised the enlargement of the European single market.	In other articles it praised the economic ideas underlying the Schuman Plan and applauded the expansion of the European Common Market.	In other articles, underlying the Schuman plan and praised the expansion of the common European market.	In other articles, behind the Schuman plan and praised the enlargement of the European single market.
2002	Der Azusa Campus der Azusa Pacific University liegt im San Gabriel Valley nordöstlich von Los Angeles.	Azusa Pacific University's Azusa Campus is located in San Gabriel Valley, northeast of Los Angeles.	Azusa Pacific University's Azusa campus is located in the San Gabriel Valley northeast of Los Angeles.	The Azusa Campus at Azusa Pacific University is located in San Gabriel Valley, northeast of Los Angeles.	Azusa Pacific University located in San Gabriel Valley, northeast of Los Angeles.	Azusa campus is located in the San Gabriel Valley northeast of Los Angeles.
6595	Zu dem Manga gibt es in Japan und Asien ein gleichnamiges Videospiel für den Sega Mega Drive.	The manga has a video game for the Sega Mega Drive in Japan and Asia with the same name.	The manga has a video game of the same name for the Sega Mega Drive in Japan and Asia.	The manga has a video game for the Sega Mega Drive in Asia and Japan with the same name.	Video game for the Sega mega drive in Japan and Asia with the same name.	The game of the same name for the Sega mega drive in Japan and Asia.
7861	Feldgemüse und Wurzelpflanzen wurden im Allgemeinen nicht angebaut sondern wuchsen je nach Saison in freier Wildnis, wo sie geerntet wurden.	Field greens and root plants were generally not cultivated and grew gathered seasonally when they were in the wild.	Field vegetables and root crops were not generally cultivated but grew in the wild depending on the season where they were harvested.	Field greens and root plants were generally not cultivated and, when they were in the wilderness, grew seasonally.	Field greens and not cultivated and grew gathered seasonally when they were in the wild.	Field vegetables generally cultivated but grew in the wild depending on the season where they were harvested.
4067	Hierdurch wurde die Konfliktzone zwischen Rhode Island und der Provinz Massachusetts vergrößert.	This enlarged the area of conflict between Rhode Island and the Province of Massachusetts.	This enlarged the conflict zone between Rhode Island and the province of Massachusetts.	This widened the area of conflict between Rhode Island and the province of Massachusetts.	This of conflict between Rhode Island and the province of Massachusetts.	This enlarged between Rhode Island and the province of Massachusetts.
2293	Der vierte wurde durch den Rücktritt von Joseph Hemphill, dessen Nachfolge Thomas Kittera antrat, nach Mai 1826 verursacht.	The fourth was in the caused by the resignation of Joseph Hemphill sometime after May, 1826, filled by Thomas Kittera.	The fourth was caused by the resignation after May 1826 of Joseph Hemphill, who was succeeded by Thomas Kittera.	The fourth was caused by the resignation of Joseph Hemphill sometime after May 1826, which was filled in by Thomas Kittera.	The fourth was in of Joseph Hemphill sometime after may, 1826, filled by Thomas Kittera.	By the resignation after may 1826 of Joseph Hemphill, who was succeeded by Thomas Kittera.
765	Elachista menura ist eine Motte aus der Familie der Elachistidae die im Bergland und Küstengebiet von New South Wales und Queensland anzutreffen ist.	Elachista menura is a moth of the Elachistidae family that is found in the mountainous areas and coastal areas of New South Wales and Queensland.	Elachista menura is a moth in the family Elachistidae found in upland and coastal New South Wales and Queensland.	Elachista menura is a mother of the Elachistidae family, which is found in the coastal areas and mountainous areas of New South Wales and Queensland.	Of the Elachistidae family that is found in the mountainous areas and Coastal areas of New South Wales and Queensland.	Elachista Menura is family Elachistidae found in upland and Coastal New South Wales and Queensland.
3321	Siebenberg beschrieb den Song als sein Lieblingslied auf dem Album ``, weil es so echt und persönlich ist.	Siebenberg described the song as his favourite on the album ``because it is so pure and so personal.	Siebenberg described the song as his favorite song on the album `` because it is so real and personal.	Siebenberg has described the song as his favourite on the album ``because it's so personal and so pure. ''	As his FAVOURITE on the album "because it is so pure and so personal.	Siebenberg his favorite song on the album "because it is so real and personal.
5066	Sarah heiratete Lea Thomas Wright Hill (1765-1842) am 29. Juli 1791 in der St. Martin’s Church in Birmingham und bekam 8 Kinder.	On July 29, 1791, Sarah married Lea Thomas Wright Hill (1765 -- 1842) at St. Martin's Church in Birmingham and had 8 children.	Sarah married Lea Thomas Wright Hill (1765-1842) on July 29, 1791 at St. Martin's Church in Birmingham and had 8 children.	Sarah Lea married Thomas Wright Hill (1765 -- 1842) on 29 July, 1791, at St Martin's Church, Birmingham and had 8 children.	On July 29 Thomas Wright Hill (1765--1842) at St. Martin's church in Birmingham and had 8 children.	Sarah married Lea Thomas on July 29, 1791 at St. Martin's church in Birmingham and had 8 children.
5526	Der Obstruent-Ablaut ist ein grammatischer Vorgang, der sich im Estnischen auf den Endkonsonant einer betonten Silbe auswirkt.	Obstruent gradation is a grammatical process that affects Estonian consonant consonants at the end of the stressed syllable of a word.	The obstruent ablaut is a grammatical process affecting the final consonant of a stressed syllable in Estonian.	Obstruent gradation is a grammatical process that affects the Estonian consonants at the end of the emphasized syllable of a word.	Obstruent Gradation that affects Estonian consonant consonants at the end of the stressed syllable of a word.	The Obstruent process affecting the final consonant of a stressed syllable in Estonian.
1461	Die Medaillen wurden von Barbara Kendall aus Neuseeland, Mitglied des Internationalen Olympischen Komitees, und Carlo Croce, Vorsitzender des Weltseglerverbandes World Sailing, verliehen.	The medals were presented by Barbara Kendall, IOC member, New Zealand and Carlo Croce, President of World Sailing.	The medals were presented by International Olympic Committee member Barbara Kendall of New Zealand and World Sailing President Carlo Croce.	The medals were handed over by Carlo Croce, IOC - Member, New Zealand, and Barbara Kendall, President of World Sailing.	By Barbara Kendall, Ioc member, New Zealand and Carlo Croce, president of world sailing.	By International Olympic committee member Barbara Kendall of New Zealand and world sailing President Carlo Croce.
1242	Er war mit Elisabeth Young (1854 - 1932) verheiratet und Vater des Schiffsmagnaten Thomas Fearnley und des Landbesitzers N. O. Young Fearlney.	He was married to Elisabeth Young (1854 -- 1932) and was the father of the ship's magnate Thomas Fearnley and landowner N. O. Young Fearnley.	He was married to Elizabeth Young (1854 - 1932) and was the father of shipping magnate Thomas Fearnley and landowner N. O. Young Fearlney.	He was married to Elisabeth Young (1854 -- 1932) and was the father of shipping magnate Thomas Fearnley and landowner N. O. Young Fearnley.	He 1854--1932) and was the father of the ship's magnate Thomas Fearnley and Landowner N. O . young Fearnley.	He was married to) and was the father of shipping magnate Thomas Fearnley and Landowner N. O . young Fearlney.
6348	In diesem ersten Jahr erhielt Larco Hoyle einige Ratschläge von seinem Onkel Victor Larco Herrera, einem Gründer eines gleichen Museums in Lima.	During that first year, Larco Hoyle received some advice from his uncle, Victor Larco Herrera, a founder of the same museum in Lima.	During that first year Larco Hoyle received some advice from his uncle Victor Larco Herrera, a founder of a same museum in Lima.	During this first year, Larco Hoyle received some advice from his uncle, Victor Larco Herrera, founder of the same museum in Lima.	Larco Hoyle received some advice from his uncle, Victor Larco Herrera, a founder of the same museum in Lima.	During that first year from his uncle Victor Larco Herrera, a founder of a same museum in Lima.
813	de Ruiter, der in Leiden geboren wurde, spielte für den FC Utrecht, den FC Den Bosch, Excelsior, den RKC Waalwijk und den FC Emmen.	de Ruiter, who was born in Leiden, played for FC Utrecht, FC Den Bosch, Excelsior, the RKC Waalwijk and FC Emmen.	de Ruiter, who was born in Leiden, played for FC Utrecht, FC Den Bosch, Excelsior, RKC Waalwijk and FC Emmen.	de Ruiter, born in Leiden, performed for RKC Waalwijk, FC Den Bosch, Excelsior, FC Utrecht and FC Emmen.	De Ruiter, who played for FC Utrecht, FC Den Bosch, Excelsior, the Rkc Waalwijk and FC Emmen.	De Ruiter Leiden, played for FC Utrecht, FC Den Bosch, Excelsior, Rkc Waalwijk and FC Emmen.
6263	Armando Santiago (geboren am 18. Juni 1932) ist ein kanadischer Komponist, Dirigent, Musikpädagoge und Universitätsleiter portugiesischer Herkunft.	Armando Santiago (born 18 June 1932) is a Canadian composer, conductor, music educator, and university administrator of Portuguese birth.	Armando Santiago (born June 18, 1932) is a Canadian composer, conductor, music educator and university leader of Portuguese origin.	Armando Santiago (born June 18, 1932) is a Canadian composer, conductor, music educator and university administrator of Portuguese descent.	Armando 1932) is a Canadian composer, conductor, music educator, and university administrator of Portuguese birth.	Armando Santiago () is a Canadian composer, conductor, music educator and university leader of Portuguese origin.
1208	Die Kappenfarbe schwankt von Braun zu Gelb, häufig mit einem braunen Fleck auf der Kappe bei Reife.	The cap color varies from brown to yellow, often with a brown spot on the cap at maturity.	Cap color varies from brown to yellow, often with a brown spot on the cap at maturity.	The cap color varies from brown to yellow, often with a brown spot on the cap at ripeness.	The cap to yellow, often with a brown spot on the cap at maturity.	Brown to yellow, often with a brown spot on the cap at maturity.
1482	Eine dreifache Gottheit ist als neue religiöse Vorstellung für die moderne Wicca-Bewegung von zentraler Bedeutung.	A new religious idea of a triple goddess is central to Wicca's modern movement.	A triple deity is central to the modern Wiccan movement as a new religious concept.	A new religious idea of a Triple Goddess is central to the modern movement of Wicca.	A new a triple goddess is central to Wicca's modern movement.	A central to the modern Wiccan movement as a new religious concept.
748	Oaklin liegt im 6. Kongressbezirk und ist Teil des 1. staatlichen legislativen Bezirks in New Jersey.	Oaklyn is located in the 6th Congressional District and is part of the 1st State Legislative District in New Jersey.	Oaklin is located in the 6th congressional district and is part of the 1st state legislative district in New Jersey.	Oaklyn is located in the 6th Congressional District and is part of New Jersey's 1st state legislative district.	Oaklyn is congressional district and is part of the 1ST state legislative district in New Jersey.	Oaklin 6th congressional district and is part of the 1ST state legislative district in New Jersey.
7769	Eine weitere Methode zur Eindämmung des Rotwildbestands ist die Kontrolle der Geburtenrate.	Another way to regulate the population of deer is to control the birth rate.	Another method of controlling deer numbers is to control the birth rate.	Another way to regulate the population of deer is to control the fertility rate.	Another the population of Deer is to control the birth rate.	Another deer numbers is to control the birth rate.
3742	Der velare Ejektiv ist eine Art konsonantischer Laut, der in manchen gesprochenen Sprachen verwendet wird. Das Zeichen dieses Klangs im internationalen phonetischen Alphabet ist .	The Velar - Ejective is a kind of consonantal sound that is used in some spoken languages The symbol in the International Phonetic Alphabet, which is this sound.	The velar ejective is a type of consonantal sound used in some spoken languages. The sign of this sound in the international phonetic alphabet is .	The velar ejective is a type of consonantal sound, used in some spoken languages. The symbol in the International Phonetic Alphabet that represents this sound is.	The Velar - Ejective is is used in some spoken languages the symbol in the International phonetic alphabet, which is this sound.	The Velar Ejective is used in some spoken languages . The sign of this sound in the International phonetic alphabet is.
2086	Ein Phasenübergang von einem Ferromagneten zu einem Paramagneten ist kontinuierlich und zweiter Ordnung.	A phase transition from a ferromagnet to a paramagnet is continuous and is of second order.	A phase transition from a ferromagnet to a paramagnet is continuous and second order.	Phase transition from a ferromagnet to a paramagnet is continuous and has a second order.	A a Ferromagnet to a paramagnet is continuous and is of second order.	From a Ferromagnet to a paramagnet is continuous and second order.
4854	1781 beförderte der Gouverneur von Virginia, Thomas Jefferson, Clark zum Brigadegeneral und gab ihm das Kommando über die gesamte Miliz in den Bezirken Kentucky und Illinois.	In 1781, Virginia Governor Thomas Jefferson promoted Clark to brigadier general and gave him command of all the militia in the Kentucky and Illinois counties.	In 1781, Virginia Governor Thomas Jefferson promoted Clark to brigadier general and gave him command of all militia in the counties of Kentucky and Illinois.	In 1781, Virginia governor Thomas Jefferson promoted Clark to brigadier general and gave him the orders for all militias in the counties of Kentucky and Illinois.	In 1781, Virginia to brigadier general and gave him command of all the militia in the Kentucky and Illinois counties.	In 1781 promoted Clark to brigadier general and gave him command of all militia in the counties of Kentucky and Illinois.
505	Rainbach im Innkreis ist eine Gemeinde in Oberösterreich im Bezirk Schärding.	Rainbach im Innkreis is a municipality in the district of Upper Austria of the Austrian state of Schärding.	Rainbach im Innkreis is a municipality in Upper Austria in the district of Schärding.	Rainbach im Innkreis is a municipality in the district of Upper Austria in the Austrian state of Schärding.	A municipality in the District of upper Austria of the Austrian state of Schärding.	Is a municipality in upper Austria in the District of Schärding.
1498	Peter DuConge (1903–1967) war ein früher Jazz-Saxophonist, der in der amerikanischen  Jazz-Szene von New Orleans aktiv war.	Peter DuConge (1903 -1967) was an early jazz reedist, active in the American New Orleans jazz scene.	Peter DuConge (1903–1967) was an early jazz saxophonist active in the American New Orleans jazz scene.	Peter DuConge (1903 - 1967) was an early Jazz - Reedist, active in the American jazz scene in New Orleans.	Peter) was an early jazz Reedist, active in the American New Orleans jazz scene.	Peter Duconge an early jazz saxophonist active in the American New Orleans jazz scene.
3471	1937 zog Gerald Heard mit seiner Frau Maria, seinem Sohn Huxley und seinem Freund Matthew Huxley nach Hollywood.	In 1937, Gerald Heard moved to Hollywood with his wife Maria, son Huxley, and friend Matthew Huxley.	In 1937, Gerald Heard moved to Hollywood with his wife Maria, son Huxley and friend Matthew Huxley.	In 1937, Gerald Heard moved to Hollywood with his wife Maria, his son Huxley and his friend Matthew Huxley.	In 1937, Hollywood with his wife Maria, son Huxley, and friend Matthew Huxley.	Heard moved to Hollywood with his wife Maria, son Huxley and friend Matthew Huxley.
6948	Andrew McLennan, geboren als Andrew Snoid, ist ein neuseeländischer Musiker, Sänger und Songwriter.	Andrew McLennan born Andrew Snoid is a New Zealand musician, singer, and songwriter.	Andrew McLennan, born Andrew Snoid, is a New Zealand musician, singer and songwriter.	Andrew McLennan Andrew Snoid is a New Zealand musician, songwriter and singer.	Andrew Mclennan is a new Zealand musician, singer, and Songwriter.	Andrew Andrew Snoid, is a new Zealand musician, Singer and Songwriter.
