2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
3166	none	Anadasmus endochra is a moth of the Depressariidae family . It is found in Brazil ( Amazonas ) .	none	Anadasmus endochra is a moth from the family of Depressariidae , which is found in Brazil ( Amazonas ) .	Anadasmus endochra is not a moth of the Depressariidae family . It is found in Brazil ( Amazonas ) .
3167	none	Holsman awarded the Parkway Garden Homes a European design , inspired by modernist housing projects of the 1920s and 1930s .	none	Holsman gave the Parkway Garden Homes a European design inspired by Modernist housing projects of the 1920s and 1930s .	Holsman didn't award the Parkway Garden Homes a European design , inspired by modernist housing projects of the 1920s and 1930s .
3168	none	She appeared in the 1983 horror film " House of the Long Shadows " , which starred Christopher Lee , Vincent Price and Peter Cushing .	none	She appeared in 1983 in the horror film " House of the Long Shadows " , in which Peter Cushing , Vincent Price and Christopher Lee played .	She didn't appear in the 1983 horror film " House of the Long Shadows " , which starred Christopher Lee , Vincent Price and Peter Cushing .
3169	none	They are exhibited in the Old Cathedral in summer and in the winter in the Great Cathedral .	none	They are exhibited for veneration in the Old Cathedral in summer and in the Great Cathedral in winter .	They are not exhibited in the Old Cathedral in summer and in the winter in the Great Cathedral .
3170	none	In 1862 , Breck died , and Breck married Sarah Stiles in 1864 , and three years later he moved to Benicia , California , to build two other institutions .	none	Jane Breck died in 1862 and Breck married Sarah Stiles in 1864 . Three years later he moved to Benicia , California to build another two institutions .	In 1862 , Breck didn't die , and Breck married Sarah Stiles in 1864 , and three years later he moved to Benicia , California , to build two other institutions .
3173	none	In 2004 , Bessonova won the around-all silver medal at the 2004 European Championships .	none	Bessonova won the silver medal at the 2004 European Championships in 2004 .	In 2004 , Bessonova didn't win the around-all silver medal at the 2004 European Championships .
3175	none	In addition to humanist cybernetics and dance , movement therapy and behavioral psychology were named as key sources of kinaesthetics .	none	In addition to humanistic cybernetics and dance , movement therapy and behavioral psychology were named as key sources of kinaesthetics .	In addition to humanist cybernetics and dance , movement therapy and behavioral psychology were not named as key sources of kinaesthetics .
3176	none	They performed at the City Winery in Chicago on November 30 , 2012 , and at the Beachland Ballroom in Cleveland on December 1 , 2012 .	none	They appeared at the City Winery in Chicago on November 30 , 2012 , and on December 1 , 2012 , in the Beachland Ballroom in Cleveland .	They didn't perform at the City Winery in Chicago on November 30 , 2012 , and at the Beachland Ballroom in Cleveland on December 1 , 2012 .
3177	none	Multiplayer video games are those that can either be played cooperatively in electronic sports or competitively , sometimes by using several input devices or by hotseating .	none	Multiplayer video games are those that can be played either cooperatively in Electronic Sports , or competitively , sometimes by using either multiple input devices , or by hotseating .	Multiplayer video games are not those that can either be played cooperatively in electronic sports or competitively , sometimes by using several input devices or by hotseating .
3178	none	She was the twin sister of Muhammad , father of Abdullah .	none	She was the twin sister of Muhammad , the father of Abdullah .	She was not the twin sister of Muhammad , father of Abdullah .
3180	none	She appeared in 1983 in the horror film " House of the Long Shadows " , in which Peter Cushing , Vincent Price and Christopher Lee played .	none	She appeared in the 1983 horror film " House of the Long Shadows " , which starred Peter Cushing , Vincent Price and Christopher Lee .	She didn't appear in 1983 in the horror film " House of the Long Shadows " , in which Peter Cushing , Vincent Price and Christopher Lee played .
3182	none	Vassiliki Kydonaki ( born 26 March 1993 ) , also known commonly as Vasso Kydonaki , is a Greek footballer .	none	Vassiliki Kydonaki ( born March 26 , 1993 ) , known as Vasso Kydonaki , is a Greek footballer .	Vassiliki Kydonaki ( born 26 March 1993 ) , also known commonly as Vasso Kydonaki , is not a Greek footballer .
3183	none	William died as " William Adams " in Brooklyn , NY on 5 December 1895 .	none	On December 5 , 1895 , William William died as " William Adams " in Brooklyn , NY .	William didn't die as " William Adams " in Brooklyn , NY on 5 December 1895 .
3184	none	Most of the Japanese troops are captured in the raid , but young Filipino boy Maximo Cuenca ( one of Barnes ' students ) is killed .	none	Most Japanese troops are captured in the raid , but the young Philippine boy Maximo Cuenca ( one of Barnes ' students ) is killed .	Most of the Japanese troops are not captured in the raid , but young Filipino boy Maximo Cuenca ( one of Barnes ' students ) is killed .
3185	none	Royce Johnson is a recurring character in the Marvel Cinematic Universe 's Netflix shows , where he is portrayed by Brett Mahoney .	none	Royce Johnson is a recurring figure in the Netflix shows at Marvel Cinematic Universe , where he is portrayed by Brett Mahoney .	Royce Johnson is not a recurring character in the Marvel Cinematic Universe 's Netflix shows , where he is portrayed by Brett Mahoney .
3187	none	In practice , a teredo client must contact the native IPv6 - Teredo - Relay , if it wants to locate a corresponding node , d .	none	In practice , when a Teredo client wants to locate a corresponding node , it must contact the native IPv6 Teredo relay , " i.e .	In practice , a teredo client must not contact the native IPv6 - Teredo - Relay , if it wants to locate a corresponding node , d .
3189	none	In 2012 he began working on the new 52 series " Batwing " with the writer Judd Winick and the artists ChrisCross and Marcus To .	none	In 2012 , he began work on The New 52 series " Batwing " with writer Judd Winick and artists ChrisCross and Marcus To .	In 2012 he didn't begin working on the new 52 series " Batwing " with the writer Judd Winick and the artists ChrisCross and Marcus To .
3190	none	From behind bars , Dimitri finds out , Maddie is not Erica 's father and helps Edmund to reunite with his daughter .	none	From behind bars , Dimitri finds out , Maddie is not Erica 's father and helps Edmund reunite with his daughter .	From behind bars , Dimitri finds out , Maddie is Erica 's father and helps Edmund to reunite with his daughter .
3191	none	The manga is published in French by Pika Edition , in Spanish by Planetacomic , in German and Italian by Panini Comics .	none	The manga is published by Pika Edition in French , from Planetacomic in Spanish , by Panini comics in German and Italian .	The manga is not published in French by Pika Edition , in Spanish by Planetacomic , in German and Italian by Panini Comics .
3192	none	Thompson was born Dena Holmes in 1960 in Hendon , North London . She worked for a building society .	none	Thompson was born in 1960 in Hendon , North - London , Dena Holmes and worked for a building society .	Thompson was not born Dena Holmes in 1960 in Hendon , North London . She worked for a building society .
3193	none	For " Archives to Eighties " Mayall recorded new bass and drums tracks played by Bobby Haynes and Joe Yuele .	none	Mayall adopted new bass and drums tracks for " Archives to Eighties - tracks played by Bobby Haynes and Joe Yuele .	For " Archives to Eighties " Mayall didn't record new bass and drums tracks played by Bobby Haynes and Joe Yuele .
3195	none	They had two daughters , Agnes and Elizabeth ( or Isabel ) , and one son and heir , William .	none	They had two daughters , Agnes and Elizabeth ( or Isabel ) , and a son and heir to William .	They didn't have two daughters , Agnes and Elizabeth ( or Isabel ) , and one son and heir , William .
3198	none	Jonathan Dakers met Edie Martyn ( Beatrice Campbell ) as child .	none	As a child Jonathan Dakers met Edie Martyn ( Beatrice Campbell ) .	Jonathan Dakers didn't meet Edie Martyn ( Beatrice Campbell ) as child .
3204	none	The species can be found from South America to northern Mexico .	none	This species can be found from South America to northern Mexico .	The species can't be found from South America to northern Mexico .
3205	none	It was originally developed by groups of Chinese and Russian scholars in the Soviet Union and used by Chinese immigrants there until the majority of them left the country .	none	It was originally developed by groups of Chinese and Russian scholars in the Soviet Union , and used by Chinese immigrants there until the majority left the country .	It was originally not developed by groups of Chinese and Russian scholars in the Soviet Union and used by Chinese immigrants there until the majority of them left the country .
3207	none	Stosur then traveled to Fribourg to represent Switzerland in their Fed Cup against Australia .	none	Stosur then traveled to Fribourg to represent Switzerland in their Fed Cup tie against Australia .	Stosur then didn't travele to Fribourg to represent Switzerland in their Fed Cup against Australia .
3208	none	On April 27 , 1763 , a council of several Indian tribes from the Ottawa region heard a speech from the Detroit leader Pontiac .	none	On April 27 , 1763 , a council of several American Indian tribes from the Ottawa region listened to a speech from the Detroit leader Pontiac .	On April 27 , 1763 , a council of several Indian tribes from the Ottawa region didn't hear a speech from the Detroit leader Pontiac .
3217	none	From 1973 to 2015 , Marian Schreier was Mayor of Tengen , his successor is Helmut Groß .	none	From 1973 to 2015 , Marian Schreier was the mayor of Tengen . His successor is Helmut Groß .	From 1973 to 2015 , Marian Schreier was Mayor of Tengen , his successor is not Helmut Groß .
3218	none	Unisys Corporation was founded in 1991 by three employees from a software research and development group at TeamQuest .	none	Unisys Corporation was founded in 1991 by three employees of a software research and development group from TeamQuest .	Unisys Corporation was not founded in 1991 by three employees from a software research and development group at TeamQuest .
3221	none	Powell refused to accept the fact and still believes that gold is in his obviously worthless mine .	none	Powell refused to accept the fact and still believes that there is gold in his obviously worthless mine .	Powell didn't refuse to accept the fact and still believes that gold is in his obviously worthless mine .
3223	none	The sunken site contained buildings similar to the new floor buildings of West Stow in England .	none	The sunken place contained buildings similar to the new floor buildings of West Stow in England .	The sunken site didn't contain buildings similar to the new floor buildings of West Stow in England .
3225	none	It has also stimulated the use of effective cavalry - forces and offensive military policy by the Han Court .	none	It also stimulated the use of effective cavalry forces and offensive military policies by the Han court .	It hasn't also stimulated the use of effective cavalry - forces and offensive military policy by the Han Court .
3226	none	Pennypacker , born in Pennsylvania , moved shortly after the turn of the twentieth century to New York City before moving to Southampton , New York , on Long Island .	none	Born in Pennsylvania , Pennypacker moved to New York City a little after the turn of the 20th century before moving to Southampton , New York on Long Island .	Pennypacker , born in Pennsylvania , didn't move shortly after the turn of the twentieth century to New York City before moving to Southampton , New York , on Long Island .
3227	none	Currently , the countries on the list are Iran , North Korea , Sudan and Syria .	none	Currently , the countries on the list are Iran , Syria , Sudan and North Korea .	Currently , the countries on the list are not Iran , North Korea , Sudan and Syria .
3228	none	A voltage is registered in these cells , which is induced electronically .	none	In these cells , a voltage is registered that is induced electronically .	A voltage is not registered in these cells , which is induced electronically .
3229	none	Users can create written entries similar to a standard personal journal and can also upload photos from their devices .	none	Users can create written entries similar to a personal standard journal and also upload photos from their devices .	Users can't create written entries similar to a standard personal journal and can also upload photos from their devices .
3230	none	In addition to the strictly scientific work , de Broglie thought and wrote about the philosophy of science , including the value of modern scientific discoveries .	none	In addition to strictly scientific work , de Broglie thought and wrote about the philosophy of science , including the value of modern scientific discoveries .	In addition to the strictly scientific work , de Broglie didn't think and wrote about the philosophy of science , including the value of modern scientific discoveries .
3231	none	Helpmann is described in the Margot Fonteyn biography as dark-haired , pale and with large dark eyes .	none	In the Margot Fonteyn biography , Helpmann is described as being dark-haired , pale and having large dark eyes .	Helpmann is not described in the Margot Fonteyn biography as dark-haired , pale and with large dark eyes .
3232	none	This area would largely be transferred to the old 6th district after the 1990 census , while most of the 5th district became the 8th district .	none	According to the 1990 census , this area would be mostly transferred to the old 6th district , while most of the 5th district became the 8th district .	This area wouldn't largely be transferred to the old 6th district after the 1990 census , while most of the 5th district became the 8th district .
3238	none	In the late 1920s she was a researcher in America at Illinois State University and later Radcliffe College and McGill University .	none	In the late 1920s , she was researcher at Illinois State University and later at Radcliffe College and McGill University in America .	In the late 1920s she was not a researcher in America at Illinois State University and later Radcliffe College and McGill University .
3240	none	The album was recorded at Brian Elliot studios in North Hollywood , California , with engineer David Hines and co-producer Jay Lansford .	none	The album was recorded at Brian Elliot Studios in North Hollywood , California , together with engineer David Hines and co-producer Jay Lansford .	The album was not recorded at Brian Elliot studios in North Hollywood , California , with engineer David Hines and co-producer Jay Lansford .
3241	none	Both Alaskans and Hawaiians have o	none	Both Alaskans and Hawaiians have	Both Alaskans and Hawaiians don't have o
3242	none	Neblo is a village in the municipality of Brda in the coastal region of Slovenia on the border with Italy .	none	Neblo is a village in the Municipality of Brda in the Littoral region of Slovenia on the border with Italy .	Neblo is not a village in the municipality of Brda in the coastal region of Slovenia on the border with Italy .
3243	none	In these cells , a voltage is induced which is electronically captured .	none	A voltage is induced in these cells , which is registered electronically .	In these cells , a voltage is not induced which is electronically captured .
3244	none	The Nelson River flows into Playgreen Lake from Lake Winnipeg then flows from two channels into Cross Lake .	none	The Nelson River flows from Lake Winnipeg to Playgreen Lake and then flows into Cross Lake from two channels .	The Nelson River doesn't flow into Playgreen Lake from Lake Winnipeg then flows from two channels into Cross Lake .
3247	none	He and Sant Dnyaneshwar were the popular sants and both worshiped Lord Vitthal .	none	He and Sant Dnyaneshwar were the popular Sants and both revered Lord Vitthal .	He and Sant Dnyaneshwar were not the popular sants and both worshiped Lord Vitthal .
3249	none	On August 12 , 2003 Kottonmouth Kings released their 3rd Compilation - Album , their 1st Live album and their 9th total album , Classic Hits Live .	none	On August 12 , 2003 Kottonmouth Kings released their 3rd compilation album , their 9th overall album and their 1st live album titled , Classic Hits Live .	On August 12 , 2003 Kottonmouth Kings didn't release their 3rd Compilation - Album , their 1st Live album and their 9th total album , Classic Hits Live .
3252	none	The presence of ravens all over Tokyo led Ibira to conceive the same of cats and notice the Yurines as catgirls .	none	The presence of ravens all over Tokyo led Ibira to feel the same of cats and to notice the Yurines as catgirls .	The presence of ravens all over Tokyo didn't lead Ibira to conceive the same of cats and notice the Yurines as catgirls .
3253	none	At the time , Cao Mao was merely a puppet emperor , because the actual power was in the hands of Regent Sima Wang ( Sima Zhaos Cousin ) .	none	At the time , Cao Mao was merely a puppet emperor as actual power was in the hands of the regent Sima Wang ( Sima Zhao 's cousin ) .	At the time , Cao Mao was not merely a puppet emperor , because the actual power was in the hands of Regent Sima Wang ( Sima Zhaos Cousin ) .
3256	none	Burton L. " Burt " Collins ( March 27 , 1931 , New York City -- February 23 , 2007 , Philadelphia ) was an American jazz trumpeter .	none	Burton L. " Burt " Collins ( 27 March 1931 , New York City -- 23 February 2007 , Philadelphia ) was an American jazz trompeter .	Burton L. " Burt " Collins ( March 27 , 1931 , New York City -- February 23 , 2007 , Philadelphia ) was not an American jazz trumpeter .
3262	none	Note : " NA " -- information was not listed on the cited page .	none	Note : " NA " -- Information was not listed on the page cited .	Note : " NA " -- information was listed on the cited page .
3266	none	Stävlö or Stäflö is a castle in Sweden in the municipality of Kalmar .	none	Stävlö or Stäflö is a castle in Sweden of Kalmar Municipality .	Stävlö or Stäflö is not a castle in Sweden in the municipality of Kalmar .
3269	none	On 14 December 2011 , he was traded with Mark Melancon to the Houston Astros for Reliever Kyle Weiland .	none	On December 14 , 2011 , he was traded along with Mark Melancon to the Houston Astros for reliever Kyle Weiland .	On 14 December 2011 , he was not traded with Mark Melancon to the Houston Astros for Reliever Kyle Weiland .
3271	none	He was born in Toledo , Ohio , grew up in St. Paul , Minnesota , and attended the High School for Reception Arts in Minneapolis , Minnesota .	none	Chrishan was born in Toledo , Ohio and grew up in St. Paul , Minnesota . He attended High School for Recording Arts in Minneapolis , Minnesota .	He was not born in Toledo , Ohio , grew up in St. Paul , Minnesota , and attended the High School for Reception Arts in Minneapolis , Minnesota .
3274	none	Calibogue Sound is situated between the islands of Daufuskie and Hilton Head and connects Intracoastal Waterway and the Harbour Town Marina with the Atlantic Ocean .	none	Calibogue Sound is between Daufuskie and Hilton Head Islands . It connects the Intracoastal Waterway and the Harbour Town Marina with the Atlantic Ocean .	Calibogue Sound is not situated between the islands of Daufuskie and Hilton Head and connects Intracoastal Waterway and the Harbour Town Marina with the Atlantic Ocean .
3275	none	Beth writes to an author of several lesbian books she has read , Nina Spicer , in New York City , who writes her back .	none	Beth writes to an author of several lesbian books she has been reading , Nina Spicer in New York City , who writes her back .	Beth doesn't write to an author of several lesbian books she has read , Nina Spicer , in New York City , who writes her back .
3276	none	He married Agnes Theodora Walther , the daughter of Vilhelm Theodor Walther ) , in 1881 and his son is the botanist and sketch artist Vagn Petersson .	none	In 1881 he married Agnes Theodora Walther , the daughter of Vilhelm Theodor Walther , and his son is the botanist and outliner of Vagn Petersson .	He didn't marry Agnes Theodora Walther , the daughter of Vilhelm Theodor Walther ) , in 1881 and his son is the botanist and sketch artist Vagn Petersson .
3278	none	On July 30 , 2017 , Miley gave up the 3,000th Adrián Beltré career hit .	none	On July 30 , 2017 , Miley gave up Adrián Beltré 's 3,000th career hit .	On July 30 , 2017 , Miley didn't give up the 3,000th Adrián Beltré career hit .
3279	none	The southern half of the village is in the town of Dannemora , while the northern half is in the town of Saranac postal code is 12929 .	none	The southern half of the village is in the town of Dannemora , while the northern half is in the town of Saranac . The ZIP code is 12929 .	The southern half of the village is in the town of Dannemora , while the northern half is in the town of Saranac postal code is not 12929 .
3280	none	Instead of Prince Patrick Island , the island in the film is located due north of Ellesmere Island ( cf .	none	The island in the film is located north of Ellesmere Island ( cf . " Prince Patrick Island " ) .	Instead of Prince Patrick Island , the island in the film is not located due north of Ellesmere Island ( cf .
3284	none	Polymers of the type of coordination are also atactic and can be isotactic or syndiotactic instead of just stereoregular .	none	Coordination type polymers are also atactic and can be isotactic or syndiotactic , instead of just stereoregular .	Polymers of the type of coordination are not also atactic and can be isotactic or syndiotactic instead of just stereoregular .
3287	none	Three LSU scholars described Long as he prepared his first campaign for governor :	none	Three LSU scholars described Long as he prepared his first campaign for the governor :	Three LSU scholars didn't describe Long as he prepared his first campaign for governor :
3288	none	Gopalakrishnan was very much impressed when Bhaskar gave music for his movie " Mathilukal " which had no songs at all .	none	Gopalakrishnan was very impressed when Bhaskar gave music for his film " Mathilukal " , which had no songs at all .	Gopalakrishnan was not very much impressed when Bhaskar gave music for his movie " Mathilukal " which had no songs at all .
3291	none	Maffie considered him " one of the greatest ballad organists " , and Jesse Crawford also composed music , including the theme for " House Party " .	none	Maffie considered him " one of the greatest ballad organists " . Jesse Crawford also composed music , including the theme for " House Party " .	Maffie didn't consider him " one of the greatest ballad organists " , and Jesse Crawford also composed music , including the theme for " House Party " .
3294	none	Around 1685 he moved to Neu - France and lived for some time in Quebec .	none	He moved to New France around 1685 and lived in Quebec for some time .	Around 1685 he didn't move to Neu - France and lived for some time in Quebec .
3297	none	Marcel Danis , ( born October 22 , 1943 ) is a Canadian university administrator , lawyer and former politician .	none	Marcel Danis ( born October 22 , 1943 ) is a Canadian university administrator , lawyer and politician .	Marcel Danis , ( born October 22 , 1943 ) is not a Canadian university administrator , lawyer and former politician .
3298	none	In the early morning and late afternoon , it seems most active .	none	It seems to be most active in the early morning and late afternoon .	In the early morning and late afternoon , it doesn't seem most active .
3303	none	Riverside is located on the 3rd Congressional District and is part of the 7th State Legislative District in New Jersey .	none	Riverside is located in the 3rd Congressional District and is part of New Jersey 's 7th state legislative district .	Riverside is not located on the 3rd Congressional District and is part of the 7th State Legislative District in New Jersey .
3306	none	The Yanqing Prison is a prison in Beijing in Yanqing County , China .	none	Yanqing Prison is a prison in Beijing in the municipality of Yanqing County , China .	The Yanqing Prison is not a prison in Beijing in Yanqing County , China .
3307	none	The provisional councils had already begun to operate more or less as national governments of independent countries .	none	The provisional councils had already begun acting more or less as national governments of independent countries .	The provisional councils hadn't already begun to operate more or less as national governments of independent countries .
3308	none	Stephen Harper was defeated by Paul Martin as Prime Minister of Canada on 23 January 2006 .	none	On January 23 , 2006 , Stephen Harper was defeated by Paul Martin as Prime Minister of Canada .	Stephen Harper was not defeated by Paul Martin as Prime Minister of Canada on 23 January 2006 .
3309	none	He died on 24 August 1878 in Wyandotte ( now part of Kansas ) , Kansas City .	none	He died on 24 August 1878 in Wyandotte ( now part of Kansas City ) , Kansas .	He didn't die on 24 August 1878 in Wyandotte ( now part of Kansas ) , Kansas City .
3311	none	" The Brute Man " was the seventh episode of the second season that was broadcast on 10 February 1996 in Comedy Central .	none	" The Brute Man " was the seventh episode of the second season , which was broadcast on Comedy Central on February 10 , 1996 .	" The Brute Man " was not the seventh episode of the second season that was broadcast on 10 February 1996 in Comedy Central .
3313	none	About 4-11 sheets per plant are also scattered along the stem and are generally 2.3-4.7 mm wide and 0.3-0.5 mm long .	none	About 4-11 leaves per plant are also scattered along the stem and are generally 2.3-4.7 mm wide and 0.3-0.5 mm long .	About 4-11 sheets per plant are also not scattered along the stem and are generally 2.3-4.7 mm wide and 0.3-0.5 mm long .
3315	none	Clanculus natalensis is a species of sea snail , a top gastropod mollusk in the family Trochidae , the marine snails .	none	Clanculus natalensis is a species of sea snail , a top gastropod mollusk in the Trochidae family , the navy snails .	Clanculus natalensis is not a species of sea snail , a top gastropod mollusk in the family Trochidae , the marine snails .
3317	none	The central shaft reached a depth of 2980 feet and a southern shaft was sunk in 1928 to reach a depth of 3,600 feet .	none	The central shaft reached a depth of 2980 feet and a south shaft was sunk in 1928 to reach a depth of 3600 feet .	The central shaft didn't reach a depth of 2980 feet and a southern shaft was sunk in 1928 to reach a depth of 3,600 feet .
3319	none	The ovarian arteries swell during pregnancy in order to increase uterine blood supply .	none	The ovarian arteries swell during pregnancy , in order to increase the uterine blood supply .	The ovarian arteries don't swell during pregnancy in order to increase uterine blood supply .
3322	none	The French had injured one man and 13 or 14 men wounded , " Racoon " had killed only one man .	none	The French had lost one man wounded and 13 or 14 men wounded , " Racoon " had only one man killed .	The French had injured one man and 13 or 14 men wounded , " Racoon " hadn't killed only one man .
3323	none	Bill Kerry Melville Defeated Billie Jean King , 6-3 , 7-5	none	Kerry Melville defeated Billie Jean King , 6 - 3 , 7 - 5	Bill Kerry Melville didn't defeat Billie Jean King , 6-3 , 7-5
3324	none	The costal Tetra is found around south-eastern Brazil and Paraná river basin in yellow rivers .	none	The costal tetra is found around southeastern Brazil and Paraná River basin in yellow rivers .	The costal Tetra is not found around south-eastern Brazil and Paraná river basin in yellow rivers .
3326	none	AMBIT is a symbolic programming language that was introduced by Carlos Christensen of Massachusetts Computer Associates in 1964 for historical computation .	none	AMBIT is a symbolic programming language that was introduced in 1964 by Carlos Christensen of Massachusetts Computer Associates for historical calculations .	AMBIT is not a symbolic programming language that was introduced by Carlos Christensen of Massachusetts Computer Associates in 1964 for historical computation .
3329	none	These medium to large butterflies have black and yellow wings with dark brown spots and a red edge .	none	These middle to large butterflies have black and yellow wings with dark brown spots and a red edge .	These medium to large butterflies don't have black and yellow wings with dark brown spots and a red edge .
3332	none	Thomas Fothergill was an English academic administrator at the University of Oxford .	none	Thomas Fothergill D.D . was an English academic administrator at the University of Oxford .	Thomas Fothergill was not an English academic administrator at the University of Oxford .
3334	none	Maximilian II ( May 22 , 1792 -- April 20 , 1869 ) was a Bavarian Lieutenant General and War Minister under Bernhard Franz von Hess of Bavaria .	none	Maximilian II ( May 22 , 1792 -- April 20 , 1869 ) was a Bavarian general lieutenant and minister of war under Bernhard Franz von Hess of Bavaria .	Maximilian II ( May 22 , 1792 -- April 20 , 1869 ) was not a Bavarian Lieutenant General and War Minister under Bernhard Franz von Hess of Bavaria .
3335	none	He worked as a school teacher in Tielt , between 1693 and 1717 , in Bruges .	none	Between 1693 and 1717 he worked as a teacher in Tielt , Bruges .	He didn't work as a school teacher in Tielt , between 1693 and 1717 , in Bruges .
3336	none	McClain was one of the pioneers in the introduction of " Ragtime Minstrelsy " , which opened a wider range of styles on the eve of the vaudevillized era .	none	McClain was one of the pioneers in introducing " ragtime minstrelsy " , which opened a wider range of styles on the eve of the vaudevillized era .	McClain was not one of the pioneers in the introduction of " Ragtime Minstrelsy " , which opened a wider range of styles on the eve of the vaudevillized era .
3337	none	The tubular heart or primitive heart tube is the earliest stage of heart development .	none	The primitive heart or the tubular heart tube is the earliest stage of the heart development .	The tubular heart or primitive heart tube is not the earliest stage of heart development .
3338	none	It was a finalist for the 2002 Sidewise Award for the best alternative history and the John W. Campbell Memorial Award 2003 .	none	It was a finalist for the 2002 Sidewise Award for best alternate-form long history , and the 2003 John W. Campbell Memorial Award .	It was not a finalist for the 2002 Sidewise Award for the best alternative history and the John W. Campbell Memorial Award 2003 .
3341	none	Music is great with some excellent songs which are etched in everybody 's memory forever .	none	Music is great with some excellent songs , which are etched forever in everyone 's memory .	Music is not great with some excellent songs which are etched in everybody 's memory forever .
3342	none	Brian Meehan fled to Amsterdam with Traynor ( who later escaped to Portugal ) .	none	Brian Meehan fled with Traynor ( who later fled to Portugal ) to Amsterdam .	Brian Meehan didn't flee to Amsterdam with Traynor ( who later escaped to Portugal ) .
3343	none	The inscription is , therefore , of linguistic importance for the first history of northern India .	none	Therefore , the inscription is of linguistic significance for the first history of northern India .	The inscription is not , therefore , of linguistic importance for the first history of northern India .
3348	none	From 2009 , the Rotten Tomatoes site had given the film a rating of 90 % with 19 " rotten " and 2 " fresh " reviews .	none	As of 2009 , the website Rotten Tomatoes had given the film a 90 % rating with 19 " rotten " and 2 " fresh " reviews .	From 2009 , the Rotten Tomatoes site hadn't given the film a rating of 90 % with 19 " rotten " and 2 " fresh " reviews .
3349	none	In the action they had wounded five men , the British suffered no victims .	none	In the action , they had five men wounded ; the British suffered no casualties .	In the action they had wounded five men , the British didn't suffer no victims .
3354	none	Lewis was also a member of the Oakland Raiders , Seattle Seahawks , Detroit Lions , Jacksonville Jaguare , Cleveland Browns , and Virginia Destroyers .	none	Lewis was also a member of the Cleveland Browns , Jacksonville Jaguars , Oakland Raiders , Seattle Seahawks , Detroit Lions and Virginia Destroyers .	Lewis was not also a member of the Oakland Raiders , Seattle Seahawks , Detroit Lions , Jacksonville Jaguare , Cleveland Browns , and Virginia Destroyers .
3355	none	Except for a small border with Perry Township ( Brookside Estates ) on the west , Worthington is completely surrounded by Columbus .	none	Except for a small border with Perry Township ( Brookside Estates ) in the west , Worthington is completely surrounded by Columbus .	Except for a small border with Perry Township ( Brookside Estates ) on the west , Worthington is completely not surrounded by Columbus .
3356	none	selects the three previous functional analyses and reviews an approach .	none	selects the previous three functional analyses and reviews an approach	 doesn't select the three previous functional analyses and reviews an approach .
3357	none	Kensuke Tanabe conducted the game , and it was produced by Akiya Sakamoto and Stephen Mortimer .	none	Kensuke Tanabe directed the game , and it was produced by Akiya Sakamoto and Stephen Mortimer .	Kensuke Tanabe didn't conduct the game , and it was produced by Akiya Sakamoto and Stephen Mortimer .
3359	none	Included Bob Flanagan , Sheree Rose , Ron Athey , Vaginal Davis , Daphne Von Rey , Jenny Shimizu , Catherine Opie , Michele Mills .	none	Bob Flanagan , Sheree Rose , Ron Athey , Vaginal Davis , Daphne von Rey , Jenny Shimizu , Catherine Opie , Michele Mills are included .	 didn't include Bob Flanagan , Sheree Rose , Ron Athey , Vaginal Davis , Daphne Von Rey , Jenny Shimizu , Catherine Opie , Michele Mills .
3360	none	BA transferred the former BCal routes to Tokyo and Saudi Arabia to Heathrow .	none	BA relocated the former BCal routes to Tokyo and Saudi Arabia to Heathrow .	BA didn't transfer the former BCal routes to Tokyo and Saudi Arabia to Heathrow .
3361	none	The band then added bassist Duane Cowan , who had recently relocated from Japan to Los Angeles .	none	The band then added bassist Duane Cowan , who moved from Japan to Los Angeles recently .	The band then didn't add bassist Duane Cowan , who had recently relocated from Japan to Los Angeles .
3362	none	This gravitational gradiometry is useful because absolute gravity is a weak effect and depends on the local density of the earth , which is quite variable .	none	This gravity gradiometry is useful because absolute gravity is a weak effect and depends on local density of the Earth which is quite variable .	This gravitational gradiometry is not useful because absolute gravity is a weak effect and depends on the local density of the earth , which is quite variable .
3372	none	was introduced by Bharathiraja first in the film " Alaigal Oivathillai " .	none	Karthik was first introduced by Bharathiraja in the film " Alaigal Oivathillai " .	was not introduced by Bharathiraja first in the film " Alaigal Oivathillai " .
3373	none	It is native to southern China ( Guangxi , Hainan , Yunnan ) , Assam , and Indochina ( Thailand , Myanmar , Vietnam ) .	none	It is home to southern China ( Yunnan , Hainan , Guangxi ) , Assam , and Indochina ( Thailand , Myanmar , Vietnam ) .	It is not native to southern China ( Guangxi , Hainan , Yunnan ) , Assam , and Indochina ( Thailand , Myanmar , Vietnam ) .
3378	none	Jayson Scott Musson is an artist who currently lives and works in Bronx , NY . He was born in Brooklyn , NY .	none	Jayson Scott Musson is an artist who currently lives and works in Bronx , NY , born in Brooklyn , NY .	Jayson Scott Musson is not an artist who currently lives and works in Bronx , NY . He was born in Brooklyn , NY .
3380	none	In 2005 , Christian Dahl sold the Flash Engineering Team to Nilsson and was renamed to Polestar Racing .	none	In 2005 , Christian Dahl sold the Flash Engineering team to Nilsson , and it was renamed Polestar Racing .	In 2005 , Christian Dahl didn't sell the Flash Engineering Team to Nilsson and was renamed to Polestar Racing .
