2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	The NBA plan of 1975 -- 76 was the 30th season of the National Basketball Association .
3957	none	In the following year ( 1641 ) the Qutb Shahi dynasty of Golconda , which observed the disorder , sent a huge force along the east coast .	none	The following year ( 1641) the Qutb Shahi dynasty of Golconda, which observed the disturbance, sent a great force along the east coast.	In the following excitement ( 1641 ) the Qutb Shahi dynasty of Golconda , which observed the disorder , sent a huge force along the east coast .
3959	none	Gwenhafar of Dolobran , son , who married Evan Lloyd lloyd , daughter of Meredith Lloyd of Meivod .	none	Gwenhafar of Dolobran, son, married Evan Lloyd lolyd, daughter of Meredith Lloyd of Meivod.	Gwenhafar of Dolobran , peace , who married Evan Lloyd lloyd , daughter of Meredith Lloyd of Meivod .
3961	none	He was promoted to the New Mexico Territory in 1860 and ordered to rank as a captain on December 20 in the 4th Infantry .	none	He was promoted to the New Mexico Territory in 1860.	He was promoted to the New Mexico Territory in 1860 and ordered to rank as a department on December 20 in the 4th Infantry .
3969	none	And procedural knowledge ( steps to make and which decision , when to do ) .	none	And procedural knowledge ( take steps and what decision to do when ).	And procedural food ( steps to make and which decision , when to do ) .
3977	none	The Argintărie River is a tributary of the Ciunget River in Romania .	none	The Argintărie is a tributary of the Ciunget River in Romania.	The Argintărie River is a heart of the Ciunget River in Romania .
3978	none	In Stockholm he completed some of the paintings he had outlined on his Finnmark tour in 1832 .	none	In Stockholm he completed some of the paintings he had sketched on his Finnmark tour in 1832.	In Stockholm he completed some of the paintings he had outlined on his Finnmark anxiety in 1832 .
3982	none	Suncook is located in the southern corner of the town of Pembroke and the western end of the town of Allenstown .	none	Suncook is located in the southern corner of the city of Pembroke and the western end of the city of Allenstown.	Suncook is located in the southern latter of the town of Pembroke and the western end of the town of Allenstown .
3984	none	The unpredictable consonant of each word was then dropped , the distribution leaving first .	none	The unpredictable consonant of each word was then dropped, leaving the distribution first.	The unpredictable burden of each word was then dropped , the distribution leaving first .
3986	none	It is the first entry in the series , the second is published " Fast Racing League " on WiiWare in 2011 for the Wii .	none	It is the first entry in the series, the second is released " Fast Racing League" on WiiWare in 2011 for the Wii.	It is the first watch in the series , the second is published `` Fast Racing League `` on WiiWare in 2011 for the Wii .
3987	none	Prince Muhammed bin Abdul Rahman married a daughter of Khalid bin Saud bin Khalid Al Abdul Rahman in 2010 , who is a great grandson of Saud .	none	Prince Muhammed bin Abdul Rahman married a daughter of Khalid bin Saud bin Khalid Al Abdul Rahman in 2010, who is a great grandson of Saud.	faith Muhammed bin Abdul Rahman married a daughter of Khalid bin Saud bin Khalid Al Abdul Rahman in 2010 , who is a great grandson of Saud .
3990	none	Anya Verkhovskaya ( Anya Verkhovskaya-Cohen ) is a Moscow-born consultant , chief operating officer , film producer and activist ( about 1969 ) .	none	Anya Verkhovskaya () is a Moscow consultant, chief operating officer, film producer and activist (c. 1969).	Anya Verkhovskaya ( Anya Verkhovskaya-Cohen ) is a Moscow-born representative , chief operating officer , film producer and activist ( about 1969 ) .
3991	none	Other car manufacturers who have produced models with suicide doors include Opel , Lancia , Citroën , Panhard , Rover , Saab , Saturn , Škoda and Volkswagen .	none	Other car manufacturers that have produced models with suicide doors are Opel, Lancia, Citroën, Panhard, Rover, Saab, Saturn, Škoda and Volkswagen.	Other topic manufacturers who have produced models with suicide doors include Opel , Lancia , Citroën , Panhard , Rover , Saab , Saturn , Škoda and Volkswagen .
3994	none	McClain was one of the pioneers in introducing " vaudevillized minstrelsy " , which opened up a wider range of styles on the eve of the Ragtime era .	none	McClain was one of the pioneers in the introduction of "Vaudelillized Minstrelsy", which opened a wider range of styles on the eve of the Ragtime era.	treaty was one of the pioneers in introducing `` vaudevillized minstrelsy `` , which opened up a wider range of styles on the eve of the Ragtime era .
3995	none	Madison is located in the 11th Congressional District and is part of the 27th State Legislative District of New Jersey .	none	Madison is located in the 11th Congressional District and is part of the 27th State Legislative District of New Jersey.	Madison is located in the 11th Congressional District and is city of the 27th State Legislative District of New Jersey .
3999	none	In the finals , Estonians won both games against Kalev Tallinn and won the first and last Soviet championship for BC Spartak Saint Petersburg .	none	In the final, Estonian won both games against Kalev Tallinn and won the first and last Soviet championship for BC Spartak St Petersburg.	In the finals , Estonians won both games against Kalev Tallinn and won the first and last Soviet negotiator for BC Spartak Saint Petersburg .
4001	none	The team has played teams such as Hawaii , Rutgers , Iowa , Mississippi State , Nebraska , Connecticut , Syracuse and Pittsburgh in the last years in 2011 .	none	The team has played teams such as Hawaii, Rutgers, Iowa, Mississippi State, Nebraska, Connecticut, Syracuse and Pittsburgh in recent years in 2011.	The negotiation has played teams such as Hawaii , Rutgers , Iowa , Mississippi State , Nebraska , Connecticut , Syracuse and Pittsburgh in the last years in 2011 .
4003	none	There are numerous student organizations on the campus , including religious groups , academic groups , and student activity groups .	none	There are numerous student organizations on campus, including religious groups, academic groups, and student activity groups.	There are numerous territory organizations on the campus , including religious groups , academic groups , and student activity groups .
4010	none	Many people still believe in Dhami and Jhakri and often turn to local practices before seeking allopathic treatment .	none	Many people still believe in Dhami and Jhakri and often turn to local practices before seeking allopathic treatment.	Many people still believe in Dhami and Jhakri and often turn to local practices before seeking allopathic executive .
4012	none	Shaffer Creek is a tributary of the Brush Creek ( Raystown Branch Juniata River ) in Bedford County , Pennsylvania , United States .	none	Shaffer Creek is a tributary of Brush Creek (Raystown Branch Juniata River) in Bedford County, Pennsylvania, United States.	Shaffer Creek is a start of the Brush Creek ( Raystown Branch Juniata River ) in Bedford County , Pennsylvania , United States .
4013	none	Their skin also secretes chemicals that are poisonous and sometimes harmful to predators .	none	Your skin also secretes chemicals that are toxic and sometimes harmful to predators.	Their cell also secretes chemicals that are poisonous and sometimes harmful to predators .
4014	none	Woodworth ( March 16 , 1807 - February 13 , 1873 ) was a U.S. Representative from New York and member of the William W. Woodworth political family .	none	William W. Woodworth, Jr., was an American politician and member of the William W. Woodworth political family.	Woodworth ( March 16 , 1807 - February 13 , 1873 ) was a U.S. Representative from New York and role of the William W. Woodworth political family .
4015	none	" A. frondiculus " is the only member of the genus which is not found in the western Indian Ocean or the Red Sea .	none	A. frondiculus is the only species of the genus not found in the western Indian Ocean or the Red Sea.	`` goal frondiculus `` is the only member of the genus which is not found in the western Indian Ocean or the Red Sea .
4017	none	The " Ruby Cup " of " Molod Ukrayiny " newspaper ( for the most scored goals ) was received by SKA Kiev .	none	The "Ruby Cup" of the "Molod Ukrayiny" newspaper (for most goals scored) was created by SKA Kiev.	The `` Ruby Cup `` of `` Molod Ukrayiny `` cereal ( for the most scored goals ) was received by SKA Kiev .
4020	none	The first section was open on December 15 , 1907 from Pasco to the west of Cliffs ( near Maryhill ) , a length of , opened .	none	The first section was opened on December 15, 1907 by Pasco in the west of Cliffs (near Maryhill), a length of.	The first law was open on December 15 , 1907 from Pasco to the west of Cliffs ( near Maryhill ) , a length of , opened .
4021	none	Panchakule is a town and village development committee in Nepal , in the Rapti zone of the southwestern Dang Deokhuri District .	none	Panchakule is a town and village development committee in Nepal, in the Rapti Zone in the southwestern Dang Deokhuri District.	commodity is a town and village development committee in Nepal , in the Rapti zone of the southwestern Dang Deokhuri District .
4023	none	He spent the childhood of Berkeley in Warwickshire , where he was a pupil of the translator Philemon Holland of Coventry and Henry Ashwood .	none	He spent the childhood of Berkeley in Warwickshire, where he was a student of the translator Philemon Holland of Coventry and Henry Ashwood.	He spent the detail of Berkeley in Warwickshire , where he was a pupil of the translator Philemon Holland of Coventry and Henry Ashwood .
4024	none	Keenan played as a 197 cm ruckman and was a good marker of the ball as well as having a solid drop punt .	none	Keenan played as 197 cm Ruckmann and was a good marker of the ball as well as with a solid drop punt.	Keenan played as a 197 inspection ruckman and was a good marker of the ball as well as having a solid drop punt .
4027	none	" Nobody Does It Better " is a song composed by Carole Bayer Sager with texts by Marvin Hamlisch .	none	Nobody Does It Better is a song by Carole Bayer Sager with lyrics by Marvin Hamlisch.	`` atmosphere Does It Better `` is a song composed by Carole Bayer Sager with texts by Marvin Hamlisch .
4035	none	Regressive assimilations are only conditioned by semantic factors while substitutions take into account phonological information .	none	Regressive assimilations are only caused by semantic factors, while substitutions take phonological information into account.	Regressive assimilations are only conditioned by semantic factors while substitutions take into pricing phonological information .
4036	none	Carmen Aub Romero ( born October 24 , 1989 in Mexico City , Mexico ) is an Mexican actress .	none	==Early life and education==Mexico was born in Mexico City, Mexico.	Carmen Aub Romero ( born October 24 , 1989 in Mexico City , Mexico ) is an Mexican examination .
4041	none	The album has been released in Lithuania by Kablio Muzika , in Russia by One Drop and in Finland by Kamaset Levyt on an LP .	none	The album was released in Lithuania by Kablio Muzika, in Russia by One Drop and in Finland by Kamaset Levyt on an LP.	The kind has been released in Lithuania by Kablio Muzika , in Russia by One Drop and in Finland by Kamaset Levyt on an LP .
4043	none	In October 2006 , CryptoLogic changed its name to Media Corporation and sold Casino.co.uk in August 2007 for £ 3.6 million in cash to Gaming Corporation .	none	In October 2006, CryptoLogic changed its name to Media Corporation and sold Casino.co.uk in August 2007 for £3.6 million in cash to Gaming Corporation.	In October 2006 , CryptoLogic changed its demand to Media Corporation and sold Casino.co.uk in August 2007 for £ 3.6 million in cash to Gaming Corporation .
4044	none	Alessandra De Rossi ( born Alessandra Schiavone ; July 19 , 1984 ) is a Philippine actress and the younger sister of Assunta De Rossi .	none	Assunta De Rossi (born Alessandra Schiavone) is a Filipino actress and sister of Assunta De Rossi.	Alessandra De Rossi ( born Alessandra Schiavone ; July 19 , 1984 ) is a Philippine evaluation and the younger sister of Assunta De Rossi .
4051	none	The princess was received with great fanfare at Pathein ( Bassein ) on September 24 , 1573 .	none	The princess was received on 24 September 1573 with great fanfare in Pathein (Bassein).	The action was received with great fanfare at Pathein ( Bassein ) on September 24 , 1573 .
4055	none	Utah claims a margin of 60 -- 34 -- 4 , while BYU leads Utah claims 57 -- 31 -- 4 .	none	Utah claims a margin of 60 - 34 - 4, while BYU Utah performs claims 57 - 31 - 4.	Utah claims a ownership of 60 -- 34 -- 4 , while BYU leads Utah claims 57 -- 31 -- 4 .
4065	none	The physical basis of bloom is that , in the real world , lenses can never focus perfectly .	none	The physical basis of flowering is that, in the real world, lenses can never focus perfectly.	The physical victory of bloom is that , in the real world , lenses can never focus perfectly .
4068	none	The result of these experiments led to the learning of processes for defining optimism .	none	The result of these experiments led to the learning of processes to define optimism.	The treatment of these experiments led to the learning of processes for defining optimism .
4069	none	Steve Davis reached the final of the tournament in 1991 and 1992 , but lost 4 -- 10 against Stephen Hendry and 8 -- 9 against Jimmy White respectively .	none	Steve Davis reached the final of the tournament in 1991 and 1992, but lost 4 -- 10 to Stephen Hendry and 8 -- 9 to Jimmy White.	Steve Davis reached the final of the system in 1991 and 1992 , but lost 4 -- 10 against Stephen Hendry and 8 -- 9 against Jimmy White respectively .
4073	none	She is currently recording and producing music for other artists and also writing solo tracks under the name Tobora .	none	She currently records music for other artists and produces music and also writes solo tracks under the name Tobora.	She is currently recording and producing peace for other artists and also writing solo tracks under the name Tobora .
4077	none	It followed MacPaint and was a competitor to Silicon Beach Software 's SuperPaint .	none	It followed MacPaint and was a competitor of Silicon Beach Software SuperPaint.	It followed MacPaint and was a understanding to Silicon Beach Software 's SuperPaint .
4078	none	This practice has its roots in the traditions regarding the Danish caps of the black students .	none	This practice has its roots in the traditions relating to the Danish caps of black students.	This opponent has its roots in the traditions regarding the Danish caps of the black students .
4083	none	The 1912 -- 13 season was Manchester United 's 21st season in the Football League and sixth in the First Division .	none	The 1912–13 season was Manchester United's 21st season in the Football League and sixth in the First Division.	The 1912 -- 13 use was Manchester United 's 21st season in the Football League and sixth in the First Division .
4088	none	Giulia Grisi was the cousin of the famous soprano singers , the sisters Giuditta and Carlotta Grisi .	none	Giulia Grisi was the cousin of the famous soprano singers, the sisters Giuditta and Carlotta Grisi.	Giulia Grisi was the excitement of the famous soprano singers , the sisters Giuditta and Carlotta Grisi .
4091	none	The journal is indexed by Brill and published in Academic Search Complete and Scopus .	none	The journal is indexed by Brill and published in Academic Search Complete and Scopus.	The parliament is indexed by Brill and published in Academic Search Complete and Scopus .
4092	none	Danielle , Nadine and Mark have visible their pictures in the school case .	none	Danielle, Nadine and Mark have their pictures visible in the school case.	Danielle , Nadine and Mark have visible their pictures in the violation case .
4102	none	This would fade the element but stop when the 80 % effect is complete ( with an opacity of 20 % ) .	none	This would fade the element, but stop when the 80% effect is complete (with an opacity of 20% ).	This would fade the head but stop when the 80 % effect is complete ( with an opacity of 20 % ) .
4104	none	Franca Treur ( * 1979 ) is a freelance writer and Dutch journalist for " NRC Handelsblad " and " nrc.next " .	none	Franca Treur (born 1979) is a freelance writer and journalist for "NRC Handelsblad" and "nrc.next".	Franca Treur ( * 1979 ) is a discussion writer and Dutch journalist for `` NRC Handelsblad `` and `` nrc.next `` .
4105	none	Its signal includes Cundinamarca , Boyacá , Tolima , Amazonas , Meta , Huila , Casanare , Caquetá , Guaviare , Vaupés , Vichada , Arauca and Putumayo .	none	Its signal includes Cundinamarca, Boyacá, Tolima, Amazonas, Meta, Huila, Casanare, Caquetá, Guaviare, Vaupés, Vichada, Arauca and Putumayo.	Its meeting includes Cundinamarca , Boyacá , Tolima , Amazonas , Meta , Huila , Casanare , Caquetá , Guaviare , Vaupés , Vichada , Arauca and Putumayo .
4108	none	The Shadrick won a by-election in Holsworthy with a majority of 66 votes after the death of Liberal Democrat councillor Pam Johns .	none	The Shadrick won a by-election in Holsworthy by a majority of 66 votes after the death of the liberal-democratic city councillor Pam Johns.	The Shadrick won a headquarters in Holsworthy with a majority of 66 votes after the death of Liberal Democrat councillor Pam Johns .
4109	none	Previously held in the city of Auckland , the show moved to Christchurch at Hagley Park in 2008 .	none	Previously held in Auckland City, the show moved to Christchurch in Hagley Park in 2008.	Previously held in the championship of Auckland , the show moved to Christchurch at Hagley Park in 2008 .
4111	none	The area is connected to the internal Nevada Test Site ( NTS ) road network , with paved roads leading west to Mercury and south to Yucca Flat .	none	The area is connected to the internal Nevada Test Site (NTS) road network, with paved roads leading west to Mercury and south to Yucca Flat.	The publicity is connected to the internal Nevada Test Site ( NTS ) road network , with paved roads leading west to Mercury and south to Yucca Flat .
4113	none	It is one of the only surviving round barns built in central Illinois and one of only two known in the state with glazed tiles .	none	It is one of the only surviving round barns built in the center of Illinois and one of only two known in the state with glazed tiles.	It is one of the only surviving impact barns built in central Illinois and one of only two known in the state with glazed tiles .
4115	none	Sentence elements ( with the exception of verbs ) can be updated by moving to the beginning of the sentence and being marked with raised eyebrows .	none	Sentence elements (with the exception of verbs) can be updated by moving to the beginning of the sentence and marked with raised eyebrows.	time elements ( with the exception of verbs ) can be updated by moving to the beginning of the sentence and being marked with raised eyebrows .
4117	none	It is located in the southern part of Annapolis County on the western shore of the Annapolis Basin .	none	It is located in the southern part of Annapolis County on the western shore of Annapolis Basin.	It is located in the southern meat of Annapolis County on the western shore of the Annapolis Basin .
4118	none	The 86th Airlift Squadron is part of the 309th Airlift Wing at Chièvres Air Base , Belgium .	none	The 86th Squadron Airlift is part of the 309th Wing Airlift at Chièvres Air Base in Belgium.	The 86th Airlift Squadron is medal of the 309th Airlift Wing at Chièvres Air Base , Belgium .
4122	none	He married Anne Blanche Harriet Proctor ( 1870-1935 ) , a daughter and co-founder of Septimus Wilkinson Crookes and Mary Ellen Blanche Crookes in 1901 .	none	He married Anne Blanche Harriet Proctor (1870-1935), a daughter and co-founder of Septimus Wilkinson Crookes and Mary Ellen Blanche Crookes in 1901.	He married Anne Blanche Harriet Proctor ( 1870-1935 ) , a cereal and co-founder of Septimus Wilkinson Crookes and Mary Ellen Blanche Crookes in 1901 .
4127	none	Born with the addition of Mikey , Turbo returned to the gayo world October 1997 with their aptly titled 3rd album " Resurrected Again " .	none	Born with the addition of Mikey, Turbo returned to the gayo world in October 1997 with her aptly titled 3rd album "Resurrected Again".	Born with the organizer of Mikey , Turbo returned to the gayo world October 1997 with their aptly titled 3rd album `` Resurrected Again `` .
4128	none	In 1854 Cooper left Australia and returned to London where he lived , a confirmed bachelor , until his death at the age of ninety .	none	In 1854 Cooper left Australia and returned to London where he lived, a confirmed bachelor, until his death at the age of ninety.	In 1854 Cooper left Australia and returned to London where he lived , a confirmed medal , until his death at the age of ninety .
4129	none	Men Suddenly in Love is a 2011 Hong Kong romantic comedy by Wong Jing produced , written and directed .	none	Men Suddenly in Love is a 2011 Hong Kong romantic comedy produced, written and directed by Wong Jing.	city Suddenly in Love is a 2011 Hong Kong romantic comedy by Wong Jing produced , written and directed .
4130	none	These recommendations were included in the management plan of the sanctuary , but nothing much was done for the management of grasslands in Solapur , Nannaj , Great Indian Bustard Sanctuary .	none	These recommendations were included in the management plan of the sanctuary, but nothing much was done for the management of grassland in Solapur, Nannaj, Great Indian Bustard Sanctuary.	These recommendations were included in the game plan of the sanctuary , but nothing much was done for the management of grasslands in Solapur , Nannaj , Great Indian Bustard Sanctuary .
4131	none	His first wife was Anna Williams , his second wife 's sister .	none	His first wife was Anna Williams, sister of his second wife.	His first ability was Anna Williams , his second wife 's sister .
4134	none	Walter Hart ( or Walter Lyhert , died May 24 , 1472 ) was a medieval bishop of Norwich .	none	Walter Hart (or Walter Lyhert, died 24 May 1472) was a medieval bishop of Norwich.	Walter Hart ( or Walter Lyhert , died May 24 , 1472 ) was a medieval excitement of Norwich .
4136	none	The main advantages of the Panzer 38 ( t ) , compared to other tanks of the day , were a high reliability and sustained mobility .	none	The main advantages of the Panzer 38 (t ), compared to other tanks of the day, were high reliability and sustainable mobility.	The main advantages of the Panzer 38 ( chance ) , compared to other tanks of the day , were a high reliability and sustained mobility .
4141	none	In 1944 , he became editor when he succeeded Edward Taylor Scott , the son of C. P. Scott .	none	In 1944 he became editor when he followed Edward Taylor Scott, son of C.P. Scott.	In 1944 , he became price when he succeeded Edward Taylor Scott , the son of C. P. Scott .
4144	none	Other R & amp ; D officials involved in the development of Bon Air were General Andrew Talcott , Col. Thomas M. Logan , Talcott 's son , and Thomas Mann Randolph Talcott .	none	Other R & D officials in the development of Bon Air were General Andrew Talcott, Col. Thomas M. Logan, Talcott's son, and Thomas Mann Randolph Talcott.	Other R & today ; D officials involved in the development of Bon Air were General Andrew Talcott , Col. Thomas M. Logan , Talcott 's son , and Thomas Mann Randolph Talcott .
4145	none	Lars Elinderson , born 1949 , is a moderate politician of the Swedish party .	none	Lars Elinderson, born in 1949, is a moderate politician of the Swedish party.	Lars Elinderson , born 1949 , is a moderate province of the Swedish party .
4146	none	Holly told " Inside Soap " Powles does not like it when she is in her parent 's bad books , so she tries to stay clean .	none	Holly said "Inside Soap" Powles doesn't like it when she's in her parents' bad books, so she's trying to stay clean.	Holly told `` Inside Soap `` Powles does not like it when she is in her picture 's bad books , so she tries to stay clean .
4149	none	For non-parametric alternatives in the factorial layout see Sawilowsky , for more discussion see ANOVA on ranks .	none	For non-parametric alternatives in the factorial layout see Sawilowsky, for further discussion see ANOVA on ranks.	For non-parametric alternatives in the factorial publicity see Sawilowsky , for more discussion see ANOVA on ranks .
4151	none	In June 1986 , Boeing 767-200ER replaced the DC-10 fleet with a new route to the Montréal -- Mirabel International Airport .	none	In June 1986, Boeing 767-200ER replaced the DC-10 fleet with a new route to Montréal -- Mirabel International Airport.	In June 1986 , Boeing 767-200ER replaced the DC-10 cell with a new route to the Montréal -- Mirabel International Airport .
4156	none	Bassett was the owner of the Toronto Argonauts , a team in the Canadian Football League from 1957 to 1974 .	none	Bassett was the owner of the Toronto Argonauts, a team in the Canadian Football League from 1957 to 1974.	Bassett was the education of the Toronto Argonauts , a team in the Canadian Football League from 1957 to 1974 .
4157	none	During this raid an Egyptian Missile boat was sunk using anti-tank M72 LAW missiles .	none	During this raid, an Egyptian rocket boat was sunk with M72 LAW anti-tank missiles.	During this raid an Egyptian Missile result was sunk using anti-tank M72 LAW missiles .
4159	none	All these empirical horopters are in fact corresponding , empirically , to the equal visual direction horopter .	none	All these empirical horopters are indeed corresponding, empirically, to the same visual direction horopter.	All these empirical horopters are in time corresponding , empirically , to the equal visual direction horopter .
4172	none	September 2 : CF Michael Bourn and CF Drew Stubbs activated , C. Caleb Joseph , LHP Jayson Aquino and RHP Tyler Wilson by AAA Norfolk recalled .	none	September 2 : CF Michael Bourn and CF Drew Stubbs activated, C. Caleb Joseph, LHP Jayson Aquino and RHP Tyler Wilson recalled by AAA Norfolk.	September 2 : activity Michael Bourn and CF Drew Stubbs activated , C. Caleb Joseph , LHP Jayson Aquino and RHP Tyler Wilson by AAA Norfolk recalled .
4174	none	The Bishop 's Office at the Rötelen Castle held the city and managed the low court rights .	none	The bishop's office in Rötelen Castle held the city and administered the low judicial rights.	The Bishop 's champion at the Rötelen Castle held the city and managed the low court rights .
4180	none	Linkuwa Pokhari is a village and village development committee in the Sagarmatha zone in the Khotang district of eastern Nepal .	none	Linkuwa Pokhari is a village and village development committee in the Sagarmatha Zone in the Khotang District of eastern Nepal.	Linkuwa Pokhari is a sign and village development committee in the Sagarmatha zone in the Khotang district of eastern Nepal .
4181	none	On 5 May 2015 , Kuala Lumpur was selected as the terminus of the Jurong East -- Singapore High Speed Rail route in Singapore .	none	In May 2015, Kuala Lumpur was selected as the final stop of the Jurong East -- Singapore High Speed Rail Route in Singapore.	On 5 May 2015 , Kuala Lumpur was selected as the win of the Jurong East -- Singapore High Speed Rail route in Singapore .
4183	none	In combination with Estradiol Enanthate , Algestone Acetophenide is used as a combined injectable contraceptive for women in Latin America and Spain once a month .	none	In combination with Estradiol Enanthate, algestone acetophenide is used once a month as a combined injectable contraceptive for women in Latin America and Spain.	In issue with Estradiol Enanthate , Algestone Acetophenide is used as a combined injectable contraceptive for women in Latin America and Spain once a month .
4190	none	The first president of Antigone was Mauro Palma ( 1991-1999 ) , who were replaced by Stefano Anastasia ( 1999-2005 ) .	none	The first president of Antigone was Mauro Palma ( 1991-1999 ), who was replaced by Stefano Anastasia ( 1999-2005 ).	The first pricing of Antigone was Mauro Palma ( 1991-1999 ) , who were replaced by Stefano Anastasia ( 1999-2005 ) .
4191	none	Marco Conti is Captain Regent of San Marino together with Glauco Sansovini for the semester from April 1 , 2010 to October 1 , 2010 .	none	Marco Conti is captain Regent of San Marino together with Glauco Sansovini for the semester from April 1, 2010 to October 1, 2010.	Marco Conti is Captain Regent of San Marino together with Glauco Sansovini for the picture from April 1 , 2010 to October 1 , 2010 .
4192	none	Wladimir Burliuk was born in Kharkiv , the younger brother of David Burliuk , on March 15 , 1886 .	none	Vladimir Burliuk was born in Kharkiv, the younger brother of David Burliuk, on March 15, 1886.	Wladimir Burliuk was born in Kharkiv , the younger signing of David Burliuk , on March 15 , 1886 .
4201	none	The album is available in two versions : the Digipack Limited Edition and the Standard Edition .	none	The album is available in two versions: the Digipack Limited Edition and the Standard Edition.	The school is available in two versions : the Digipack Limited Edition and the Standard Edition .
4202	none	This creates filter processing and manages the filter chain with the appropriate filters , in the correct order , and initiates processing .	none	This creates the filter processing and manages the filter chain with the corresponding filters in the correct order and initiates the processing.	This creates heart processing and manages the filter chain with the appropriate filters , in the correct order , and initiates processing .
4204	none	Eoacmaea calamus is a species of sea snail , a true limpet , a true gastropod mollusk in the Eoacmaeidae family , one of the families of the marine limpets .	none	Eoacmaea calamus is a species of snail in the Eoacmaeidae family.	Eoacmaea order is a species of sea snail , a true limpet , a true gastropod mollusk in the Eoacmaeidae family , one of the families of the marine limpets .
4207	none	In 1948 Bubba produced the first Italian self-propelled combine harvester , the 1500 , preceded only by Massey Harris in 1941 .	none	In 1948, Bubba produced the first Italian self-propelled combine harvester, the 1500, which was preceded by only Massey Harris in 1941.	In 1948 Bubba produced the first Italian self-propelled year harvester , the 1500 , preceded only by Massey Harris in 1941 .
4210	none	NUM campaigned successfully in the 1980s for the end of the job reservation system , a system which ensured that the best-paid jobs were allocated to whites .	none	In the 1980s, the NUM worked successfully for the end of the job reservation system, a system that ensured that the best paid jobs were allocated to whites.	NUM campaigned successfully in the 1980s for the marketing of the job reservation system , a system which ensured that the best-paid jobs were allocated to whites .
4212	none	Teewurst was invented in Pomerania , probably in the small Baltic town of Rügenwalde ( now Darłowo , Poland ) , in the middle of the 19th century .	none	Teewurst was invented in Pomerania, probably in the small Baltic town of Rügenwalde (now Darłowo, Poland), in the middle of the 19th century.	Teewurst was invented in Pomerania , probably in the small Baltic industry of Rügenwalde ( now Darłowo , Poland ) , in the middle of the 19th century .
4214	none	Georges Merle died in Paris in 1881 , his son Hugues Merle became a painter as well .	none	Georges Merle died in Paris in 1881, his son Hugues Merle became a painter as well.	Georges Merle died in Paris in 1881 , his behalf Hugues Merle became a painter as well .
4217	none	In his retirement , MacDonald wrote the " Macdonald dictionary of Canterbury - Biographies " , a collection of 12,000 biographies run by the Canterbury museum .	none	In his retirement, MacDonald wrote the " Macdonald Dictionary of Canterbury - Biographies ", a collection of 12,000 biographies operated by the Canterbury Museum.	In his direction , MacDonald wrote the `` Macdonald dictionary of Canterbury - Biographies `` , a collection of 12,000 biographies run by the Canterbury museum .
4226	none	Langdon Hubbard died in 1892 , and William H. Bennett took over the mill .	none	Langdon Hubbard died in 1892 and William H. Bennett took over the mill.	Langdon Hubbard died in 1892 , and William H. Bennett took over the front .
4229	none	Bouchier was married to Dorothy Britton , who translated a number of Japanese books into English .	none	Bouchier was married to Dorothy Britton, who translated a series of Japanese books into English.	Bouchier was married to Dorothy Britton , who translated a event of Japanese books into English .
4231	none	In his Karachi workshop , he paints in the open air and sketches his ideas on the ground .	none	In his Karachi workshop, he paints outdoors and outlines his ideas on the ground.	In his Karachi climax , he paints in the open air and sketches his ideas on the ground .
4234	none	This version of Robert Hammond is a xenobiology professor , an old friend of Hal Jordan and the son of United States senator Hector Hammond .	none	This version of Robert Hammond is a xenobiology professor, an old friend of Hal Jordan and the son of US Senator Hector Hammond.	This price of Robert Hammond is a xenobiology professor , an old friend of Hal Jordan and the son of United States senator Hector Hammond .
4235	none	Inorganic liquids include water , magma , inorganic non-aqueous solvents and many acids .	none	Inorganic liquids include water, magma, inorganic non-aqueous solvents and many acids.	Inorganic liquids include research , magma , inorganic non-aqueous solvents and many acids .
4238	none	Guido Crepax is known for publishing the original edition of the " Codex Seraphinianus " and some of Ricci 's books .	none	Guido Crepax is known for publishing the original edition of "Codex Seraphinianus" and some of Ricci's books.	Guido Crepax is known for publishing the original mind of the `` Codex Seraphinianus `` and some of Ricci 's books .
4246	none	WORHP , also referred to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems .	none	WORHP, also known as eNLP (European NLP Solver ), is a mathematical software library for the numerical solution of continuous, nonlinear optimization problems.	WORHP , also referred to as efficiency ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems .
4250	none	J. Augustus Johnston ( " fl . " 1870-1890 ) was the American consul in Beirut and replaced G. Augustus Johnson .	none	Augustus Johnston (born 1870) was an American consul in Beirut.	J. Augustus Johnston ( `` fl . `` 1870-1890 ) was the American championship in Beirut and replaced G. Augustus Johnson .
4258	none	Robert Wilson was born on 24 June 1766 to George Wilson , a shipbuilder , and Mary Finlay in Newcastle .	none	Robert Wilson was born on 24 June 1766 to George Wilson, a shipbuilder, and Mary Finlay in Newcastle.	Robert Wilson was born on 24 June 1766 to George Wilson , a basis , and Mary Finlay in Newcastle .
4259	none	Stenoma relata is a moth of the Depressariidae family , which is found in Amazonas ( French - Guiana , Brazil ) and in Peru .	none	Stenoma relata is a moth of the Depressariidae family.	Stenoma set is a moth of the Depressariidae family , which is found in Amazonas ( French - Guiana , Brazil ) and in Peru .
