2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	of 1975 -- 76 was the 30th season of the National Basketball Association .
3847	none	Colin MacDougall is a married to Richardson .	none	Colin MacDougall is married to Richardson.	is a married to Richardson .
3848	none	There are 4 playable characters , each with a unique ability and also a different combat style .	none	There are 4 playable characters, each with a unique ability and also a different type of combat.	There are each with a unique ability and also a different combat style .
3852	none	Calcium / calmodulin - dependent 3 ' ; , 5 ' ; -cyclic nucleotide phosphodiesterase 1A is an enzyme that is encoded in humans by the " PDE1A " gene .	none	Calcium / Calmodulin - dependent 3';, 5'; -cyclic nucleotide phosphodiesterase 1A is an enzyme encoded in humans by the PDE1A gene.	Calcium / calmodulin - ' ; -cyclic nucleotide phosphodiesterase 1A is an enzyme that is encoded in humans by the `` PDE1A `` gene .
3853	none	Eastern Cape is an administrative area of the Amatole District of the Mnquma Local Municipality in South Africa .	none	Eastern Cape is an administrative area of the Amatole District of Mnquma Municipality, South Africa.	Eastern area of the Amatole District of the Mnquma Local Municipality in South Africa .
3855	none	She married twice . The first time with Prince Kazimierz Poniatowski in 1749 , and the second time with Prince Antoni Lubomirski on 21 January 1751 .	none	She married twice. The first time with Prince Kazimierz Poniatowski in 1749, and the second time with Prince Antoni Lubomirski on 21 January 1751.	She married with Prince Kazimierz Poniatowski in 1749 , and the second time with Prince Antoni Lubomirski on 21 January 1751 .
3856	none	Rajesh 's best friends are Selva , a good spirited boy , and David , an arrogant sports hero but with a good heart .	none	Rajesh's best friends are Selva, a good temperamental boy, and David, an arrogant sports hero, but with a good heart.	Rajesh 's a good spirited boy , and David , an arrogant sports hero but with a good heart .
3861	none	The constant term is unphysical in global supersymmetry ( as opposed to supergravity ) .	none	The constant term is unphysical in global supersymmetry (as opposed to supergravitation).	The constant in global supersymmetry ( as opposed to supergravity ) .
3863	none	The Talgarth , Wales , originally the Lunatic Asylum of the Brecon and the Radnor Joint Counties , was a psychiatric hospital in the Mid Wales Hospital .	none	The Talgarth, Wales, originally the lunatic asylum of Brecon and the Radnor Joint Counties, was a psychiatric hospital at Mid Wales Hospital.	The Talgarth , Wales the Brecon and the Radnor Joint Counties , was a psychiatric hospital in the Mid Wales Hospital .
3865	none	They speak a creole termed Baba Malay which is a colloquial form of Malay mixed with Hokkien words .	none	They speak a creole called Baba Malay, which is a colloquial form of Malay mixed with Hokkien words.	They speak Malay which is a colloquial form of Malay mixed with Hokkien words .
3866	none	In Europe , " Pueraria montana " grows in several places in warm regions of Switzerland and Italy near Lake Maggiore and Lake Lugano .	none	In Europe, "Pueraria montana" grows in several places in warm regions of Switzerland and Italy near Lake Maggiore and Lake Lugano.	In `` grows in several places in warm regions of Switzerland and Italy near Lake Maggiore and Lake Lugano .
3868	none	Stenolechia zelosaris is a moth of the family Gelechiidae . It is found in Assam ( India ) .	none	Stenolechia celosaris is a moth of the Gelechiidae family.	moth of the family Gelechiidae . It is found in Assam ( India ) .
3875	none	There are two important cases : ( i ) a simple closed chain and ( ii ) a simple open chain .	none	There are two important cases : ( i ) a simple closed chain and ( ii ) a simple open chain.	There : ( i ) a simple closed chain and ( ii ) a simple open chain .
3877	none	In the following month , Bullet Club received its first Japanese member , when Styles joined Yujiro Takahashi helped conquer the IWGP Heavyweight Championship .	none	The following month, Bullet Club received its first Japanese member when Styles Yujiro Takahashi helped conquer the IWGP Heavyweight Championship.	In the received its first Japanese member , when Styles joined Yujiro Takahashi helped conquer the IWGP Heavyweight Championship .
3878	none	One of the best and most prestigious schools in Aligarh is St Francis inter college , Hathras road .	none	One of the best and most prestigious schools in Aligarh is St Francis Inter College, Hathras Street.	and most prestigious schools in Aligarh is St Francis inter college , Hathras road .
3880	none	His mother , born in Devonshire , was the tenth child of parents emigrating from Kingston to Canada .	none	His mother, born in Devonshire, was the tenth child of the parents who emigrated from Kingston to Canada.	His Devonshire , was the tenth child of parents emigrating from Kingston to Canada .
3883	none	Brian Meehan fled with Traynor to Portugal ( who later fled to Amsterdam ) .	none	Brian Meehan fled with Traynor to Portugal (who later fled to Amsterdam).	Brian Meehan to Portugal ( who later fled to Amsterdam ) .
3885	none	On 28 January 2015 , Watson was brought into the backroom team of John Carver at Newcastle United for the remaining 16 games of the 2014-15 season .	none	In January 2015, Watson joined John Carver's backroom team in Newcastle United for the remaining 16 games of the 2014-15 season.	On 28 January 2015 backroom team of John Carver at Newcastle United for the remaining 16 games of the 2014-15 season .
3886	none	The dermal skeleton is organized in three layers : a superficial lamellar layer , a cancellous spongiosa , and a compact basal lamellar layer .	none	The dermal skeleton is organized in three layers: a superficial lamella layer, a cancellous spongiosa, and a compact basal lamella layer.	The dermal layers : a superficial lamellar layer , a cancellous spongiosa , and a compact basal lamellar layer .
3891	none	Shaffer Creek is an tributary of Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania in the United States .	none	Shaffer Creek is a tributary of the Raystown Branch Juniata River in Bedford County, Pennsylvania, United States.	Shaffer Creek Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania in the United States .
3892	none	Before the municipality was called Waling , it was the only municipality in Syangja .	none	Before it was called Waling, it was the only community in Syangja.	Before the Waling , it was the only municipality in Syangja .
3894	none	Winner effects were shown when established non-experienced chicks were placed against dominant chicks in a study by Drummond .	none	Winning effects were shown when established non-experienced chicks were placed in a Drummond study against dominant chicks.	Winner effects non-experienced chicks were placed against dominant chicks in a study by Drummond .
3898	none	Awwad was born in Jerusalem . He graduated from the Arab College in Salfit in 1947 .	none	Awwad was born in Jerusalem. He graduated from the Arabic College in Salfit in 1947.	Awwad was . He graduated from the Arab College in Salfit in 1947 .
3900	none	Cramer was born in Geneva and grew up in New York City .	none	Cramer was born in Geneva and grew up in New York City.	Cramer Geneva and grew up in New York City .
3902	none	In 2015 , Bookboon was mentioned in newspapers such as the German ‘ Handelsblatt " ’ and one of its Swedish books was presented in the Swedish metro .	none	In 2015, Bookboon was mentioned in newspapers such as the German Handelsblatt and one of his Swedish books was presented in the Swedish Metro.	In 2015 , Bookboon was German ‘ Handelsblatt `` ’ and one of its Swedish books was presented in the Swedish metro .
3903	none	On June 30 , 2016 , Infante agreed to a Minor League Deal with the Atlanta Braves , which was released by the Braves on August 16 , 2016 .	none	On June 30, 2016, Infante agreed to a minor league deal with the Atlanta Braves, which was released by the Braves on August 16, 2016.	On June 30 a Minor League Deal with the Atlanta Braves , which was released by the Braves on August 16 , 2016 .
3904	none	Tom Patterson ( born February 12 , 1979 ) is an American entrepreneur who , in 2008 , founded Tommy John .	none	Tommy John (born February 22, 1979) is an American businessman who founded Tommy John in 2008.	Tom 12 , 1979 ) is an American entrepreneur who , in 2008 , founded Tommy John .
3906	none	These enzymes are capable of enantioselective oxidations of prochiral substrates .	none	These enzymes are able to enantioselective oxidations of prochiral substrates.	are capable of enantioselective oxidations of prochiral substrates .
3908	none	In 1987 , Jack wrote his autobiography with Paul Conn , " Eckerd : Finding the Right Prescription . "	none	In 1987 Jack wrote his autobiography with Paul Conn, "Eckerd: Finding the Right Prescription."	wrote his autobiography with Paul Conn , `` Eckerd : Finding the Right Prescription . ``
3909	none	The 2013 Alcorn State University football team represents Alcorn State Braves in the NCAA Division I FCS football season 2013 .	none	The 2013 Alcorn State University football team represents Alcorn State Braves in the 2013 NCAA Division I FCS.	The football team represents Alcorn State Braves in the NCAA Division I FCS football season 2013 .
3911	none	For example , in order to type a vertical line of 4 cm length , it is sufficient to draw :	none	For example, to type a vertical line of 4 cm length, it is sufficient to draw:	For to type a vertical line of 4 cm length , it is sufficient to draw :
3912	none	The returning Carrawell , who played with Sta.Lucia three years ago for the last time , replaces Isaac Fontaine .	none	The return of Carrawell, who played with Sta.Lucia for the last time three years ago, replaced Isaac Fontaine.	The returning with Sta.Lucia three years ago for the last time , replaces Isaac Fontaine .
3917	none	His family later moved from Brooklyn to 110th Street and Amsterdam Avenue in Manhattan .	none	His family later moved from Brooklyn to 110th Street and Amsterdam Avenue in Manhattan.	His family Brooklyn to 110th Street and Amsterdam Avenue in Manhattan .
3918	none	The museum operated the locomotive and leased the North Shore Scenic Railroad # 2719 through its subsidiary .	none	The museum operated the locomotive and leased the North Shore Scenic Railroad # 2719 through its subsidiary.	The and leased the North Shore Scenic Railroad # 2719 through its subsidiary .
3919	none	Viktor Aronovich Bely , also Viktor Arkadevich Bely ( January 14 , 1904 -- March 6 , 1983 ) , was a Russian composer and social activist .	none	Viktor Aronovich Bely, also Viktor Arkadewitsch Bely (January 14, 1904 – March 6, 1983) was a Russian composer and social activist.	Viktor Aronovich Bely , 14 , 1904 -- March 6 , 1983 ) , was a Russian composer and social activist .
3923	none	Government also issued 70 permits to private operators on local routes in the district .	none	The government also granted 70 permits to private operators on local routes in the district.	70 permits to private operators on local routes in the district .
3924	none	The 1960 San Diego State College football team represents the NCAA College Division , during the 1960 San Diego State Aztecs football season .	none	The 1960 San Diego State College football team represents the NCAA College Division during the San Diego State Aztec football season.	The football team represents the NCAA College Division , during the 1960 San Diego State Aztecs football season .
3925	none	Brezovica nad Torysou is a village and municipality in the Sabinov district in the Prešov region of north-eastern Slovakia .	none	Brezovica nad Torysou is a municipality in Slovakia.	Brezovica nad and municipality in the Sabinov district in the Prešov region of north-eastern Slovakia .
3927	none	Brian Meehan fled with Traynor ( who later fled to Amsterdam ) to Portugal .	none	Brian Meehan fled to Portugal with Traynor (who later fled to Amsterdam).	with Traynor ( who later fled to Amsterdam ) to Portugal .
3932	none	The most common type of dental abscess is a periapical abscess , and the second most common is periodontal abscess .	none	The most common type of tooth abscess is a periapic abscess, and the second most common is periodontal abscess.	The most common is a periapical abscess , and the second most common is periodontal abscess .
3940	none	The New Jersey Zinc Company was a subsidiary of the Empire Zinc Company .	none	The New Jersey Zinc Company was a subsidiary of the Empire Zinc Company.	The New was a subsidiary of the Empire Zinc Company .
3946	none	He was born in Frederick Dallas Cairns in Melbourne , Australia and died in London , England , UK .	none	He was born in Frederick Dallas Cairns in Melbourne, Australia and died in London, England, UK.	He was born in Melbourne , Australia and died in London , England , UK .
3948	none	The album was released on May 26 , 2007 by Furious in the UK and 7 Spin Music in the United States .	none	The album was released on May 26, 2007 by Furious in the UK and 7 Spin Music in the United States.	The album was 2007 by Furious in the UK and 7 Spin Music in the United States .
3950	none	The character of Holden Ford is based on FBI agent Robert K. Ressler , and Bill Tench is based on pioneering FBI agent John E. Douglas .	none	The character of Holden Ford is based on FBI agent Robert K. Ressler, and Bill Tench is based on groundbreaking FBI agent John E. Douglas.	The based on FBI agent Robert K. Ressler , and Bill Tench is based on pioneering FBI agent John E. Douglas .
3951	none	In recent years this has become a reason for students who do not attend state universities to prefer going abroad or study at other institutes and professional bodies .	none	In recent years, this has become a reason for students who do not attend state universities to go abroad or to study at other institutes and professional associations.	In recent years students who do not attend state universities to prefer going abroad or study at other institutes and professional bodies .
3957	none	In the following year ( 1641 ) the Qutb Shahi dynasty of Golconda , which observed the disorder , sent a huge force along the east coast .	none	The following year ( 1641) the Qutb Shahi dynasty of Golconda, which observed the disturbance, sent a great force along the east coast.	In the Qutb Shahi dynasty of Golconda , which observed the disorder , sent a huge force along the east coast .
3959	none	Gwenhafar of Dolobran , son , who married Evan Lloyd lloyd , daughter of Meredith Lloyd of Meivod .	none	Gwenhafar of Dolobran, son, married Evan Lloyd lolyd, daughter of Meredith Lloyd of Meivod.	son , who married Evan Lloyd lloyd , daughter of Meredith Lloyd of Meivod .
3961	none	He was promoted to the New Mexico Territory in 1860 and ordered to rank as a captain on December 20 in the 4th Infantry .	none	He was promoted to the New Mexico Territory in 1860.	New Mexico Territory in 1860 and ordered to rank as a captain on December 20 in the 4th Infantry .
3964	none	Here he was much nerdier , gawkier and scrawnier than his later editions .	none	Here he was much nerdier, gawkier and scrawner as his later editions.	Here he , gawkier and scrawnier than his later editions .
3969	none	And procedural knowledge ( steps to make and which decision , when to do ) .	none	And procedural knowledge ( take steps and what decision to do when ).	( steps to make and which decision , when to do ) .
3970	none	Two new , large sports venues opened in 2001 : the Ralph Engelstad Arena and the Alerus Center .	none	Two new, large sports facilities were opened in 2001: the Ralph Engelstad Arena and the Alerus Center.	Two new , in 2001 : the Ralph Engelstad Arena and the Alerus Center .
3974	none	The two secondary schools , Heatherhill Secondary College and Coomoora Secondary College have been merged with Springvale Secondary College and Chandler Secondary College into Keysborough Secondary College .	none	The two secondary schools, Heatherhill Secondary College and Coomoora Secondary College were established together with Springvale Secondary College and Chandler Secondary College in Keysborough Secondary College.	The College and Coomoora Secondary College have been merged with Springvale Secondary College and Chandler Secondary College into Keysborough Secondary College .
3977	none	The Argintărie River is a tributary of the Ciunget River in Romania .	none	The Argintărie is a tributary of the Ciunget River in Romania.	The a tributary of the Ciunget River in Romania .
3978	none	In Stockholm he completed some of the paintings he had outlined on his Finnmark tour in 1832 .	none	In Stockholm he completed some of the paintings he had sketched on his Finnmark tour in 1832.	some of the paintings he had outlined on his Finnmark tour in 1832 .
3982	none	Suncook is located in the southern corner of the town of Pembroke and the western end of the town of Allenstown .	none	Suncook is located in the southern corner of the city of Pembroke and the western end of the city of Allenstown.	the southern corner of the town of Pembroke and the western end of the town of Allenstown .
3984	none	The unpredictable consonant of each word was then dropped , the distribution leaving first .	none	The unpredictable consonant of each word was then dropped, leaving the distribution first.	of each word was then dropped , the distribution leaving first .
3986	none	It is the first entry in the series , the second is published " Fast Racing League " on WiiWare in 2011 for the Wii .	none	It is the first entry in the series, the second is released " Fast Racing League" on WiiWare in 2011 for the Wii.	It is the , the second is published `` Fast Racing League `` on WiiWare in 2011 for the Wii .
3987	none	Prince Muhammed bin Abdul Rahman married a daughter of Khalid bin Saud bin Khalid Al Abdul Rahman in 2010 , who is a great grandson of Saud .	none	Prince Muhammed bin Abdul Rahman married a daughter of Khalid bin Saud bin Khalid Al Abdul Rahman in 2010, who is a great grandson of Saud.	Prince Muhammed bin Abdul Rahman Saud bin Khalid Al Abdul Rahman in 2010 , who is a great grandson of Saud .
3990	none	Anya Verkhovskaya ( Anya Verkhovskaya-Cohen ) is a Moscow-born consultant , chief operating officer , film producer and activist ( about 1969 ) .	none	Anya Verkhovskaya () is a Moscow consultant, chief operating officer, film producer and activist (c. 1969).	Anya Verkhovskaya ( Moscow-born consultant , chief operating officer , film producer and activist ( about 1969 ) .
3991	none	Other car manufacturers who have produced models with suicide doors include Opel , Lancia , Citroën , Panhard , Rover , Saab , Saturn , Škoda and Volkswagen .	none	Other car manufacturers that have produced models with suicide doors are Opel, Lancia, Citroën, Panhard, Rover, Saab, Saturn, Škoda and Volkswagen.	Other car manufacturers who have Opel , Lancia , Citroën , Panhard , Rover , Saab , Saturn , Škoda and Volkswagen .
3994	none	McClain was one of the pioneers in introducing " vaudevillized minstrelsy " , which opened up a wider range of styles on the eve of the Ragtime era .	none	McClain was one of the pioneers in the introduction of "Vaudelillized Minstrelsy", which opened a wider range of styles on the eve of the Ragtime era.	McClain introducing `` vaudevillized minstrelsy `` , which opened up a wider range of styles on the eve of the Ragtime era .
3995	none	Madison is located in the 11th Congressional District and is part of the 27th State Legislative District of New Jersey .	none	Madison is located in the 11th Congressional District and is part of the 27th State Legislative District of New Jersey.	Madison is located District and is part of the 27th State Legislative District of New Jersey .
3997	none	Tracks 7-17 from the album Let 's Be Up and Make Friendly .	none	Tracks 7-17 from the album Let's Be Up and Make Friendly.	the album Let 's Be Up and Make Friendly .
3999	none	In the finals , Estonians won both games against Kalev Tallinn and won the first and last Soviet championship for BC Spartak Saint Petersburg .	none	In the final, Estonian won both games against Kalev Tallinn and won the first and last Soviet championship for BC Spartak St Petersburg.	In both games against Kalev Tallinn and won the first and last Soviet championship for BC Spartak Saint Petersburg .
4001	none	The team has played teams such as Hawaii , Rutgers , Iowa , Mississippi State , Nebraska , Connecticut , Syracuse and Pittsburgh in the last years in 2011 .	none	The team has played teams such as Hawaii, Rutgers, Iowa, Mississippi State, Nebraska, Connecticut, Syracuse and Pittsburgh in recent years in 2011.	The Hawaii , Rutgers , Iowa , Mississippi State , Nebraska , Connecticut , Syracuse and Pittsburgh in the last years in 2011 .
4003	none	There are numerous student organizations on the campus , including religious groups , academic groups , and student activity groups .	none	There are numerous student organizations on campus, including religious groups, academic groups, and student activity groups.	There on the campus , including religious groups , academic groups , and student activity groups .
4010	none	Many people still believe in Dhami and Jhakri and often turn to local practices before seeking allopathic treatment .	none	Many people still believe in Dhami and Jhakri and often turn to local practices before seeking allopathic treatment.	Many people and Jhakri and often turn to local practices before seeking allopathic treatment .
4012	none	Shaffer Creek is a tributary of the Brush Creek ( Raystown Branch Juniata River ) in Bedford County , Pennsylvania , United States .	none	Shaffer Creek is a tributary of Brush Creek (Raystown Branch Juniata River) in Bedford County, Pennsylvania, United States.	Shaffer the Brush Creek ( Raystown Branch Juniata River ) in Bedford County , Pennsylvania , United States .
4013	none	Their skin also secretes chemicals that are poisonous and sometimes harmful to predators .	none	Your skin also secretes chemicals that are toxic and sometimes harmful to predators.	secretes chemicals that are poisonous and sometimes harmful to predators .
4014	none	Woodworth ( March 16 , 1807 - February 13 , 1873 ) was a U.S. Representative from New York and member of the William W. Woodworth political family .	none	William W. Woodworth, Jr., was an American politician and member of the William W. Woodworth political family.	Woodworth ( March 16 1873 ) was a U.S. Representative from New York and member of the William W. Woodworth political family .
4015	none	" A. frondiculus " is the only member of the genus which is not found in the western Indian Ocean or the Red Sea .	none	A. frondiculus is the only species of the genus not found in the western Indian Ocean or the Red Sea.	`` A. member of the genus which is not found in the western Indian Ocean or the Red Sea .
4017	none	The " Ruby Cup " of " Molod Ukrayiny " newspaper ( for the most scored goals ) was received by SKA Kiev .	none	The "Ruby Cup" of the "Molod Ukrayiny" newspaper (for most goals scored) was created by SKA Kiev.	of `` Molod Ukrayiny `` newspaper ( for the most scored goals ) was received by SKA Kiev .
4020	none	The first section was open on December 15 , 1907 from Pasco to the west of Cliffs ( near Maryhill ) , a length of , opened .	none	The first section was opened on December 15, 1907 by Pasco in the west of Cliffs (near Maryhill), a length of.	The first section was open Pasco to the west of Cliffs ( near Maryhill ) , a length of , opened .
4021	none	Panchakule is a town and village development committee in Nepal , in the Rapti zone of the southwestern Dang Deokhuri District .	none	Panchakule is a town and village development committee in Nepal, in the Rapti Zone in the southwestern Dang Deokhuri District.	Panchakule is development committee in Nepal , in the Rapti zone of the southwestern Dang Deokhuri District .
4023	none	He spent the childhood of Berkeley in Warwickshire , where he was a pupil of the translator Philemon Holland of Coventry and Henry Ashwood .	none	He spent the childhood of Berkeley in Warwickshire, where he was a student of the translator Philemon Holland of Coventry and Henry Ashwood.	He in Warwickshire , where he was a pupil of the translator Philemon Holland of Coventry and Henry Ashwood .
4024	none	Keenan played as a 197 cm ruckman and was a good marker of the ball as well as having a solid drop punt .	none	Keenan played as 197 cm Ruckmann and was a good marker of the ball as well as with a solid drop punt.	Keenan played and was a good marker of the ball as well as having a solid drop punt .
4027	none	" Nobody Does It Better " is a song composed by Carole Bayer Sager with texts by Marvin Hamlisch .	none	Nobody Does It Better is a song by Carole Bayer Sager with lyrics by Marvin Hamlisch.	`` Nobody is a song composed by Carole Bayer Sager with texts by Marvin Hamlisch .
4033	none	On June 30 , 2016 , Infante agreed to a Minor League Deal with the Braves and was released from the Atlanta Braves on August 16 , 2016 .	none	On June 30, 2016, Infante agreed to a minor league deal with the Braves and was released from the Atlanta Braves on August 16, 2016.	On June 30 , Minor League Deal with the Braves and was released from the Atlanta Braves on August 16 , 2016 .
4035	none	Regressive assimilations are only conditioned by semantic factors while substitutions take into account phonological information .	none	Regressive assimilations are only caused by semantic factors, while substitutions take phonological information into account.	Regressive assimilations by semantic factors while substitutions take into account phonological information .
4036	none	Carmen Aub Romero ( born October 24 , 1989 in Mexico City , Mexico ) is an Mexican actress .	none	==Early life and education==Mexico was born in Mexico City, Mexico.	Carmen October 24 , 1989 in Mexico City , Mexico ) is an Mexican actress .
4041	none	The album has been released in Lithuania by Kablio Muzika , in Russia by One Drop and in Finland by Kamaset Levyt on an LP .	none	The album was released in Lithuania by Kablio Muzika, in Russia by One Drop and in Finland by Kamaset Levyt on an LP.	The album has Kablio Muzika , in Russia by One Drop and in Finland by Kamaset Levyt on an LP .
4043	none	In October 2006 , CryptoLogic changed its name to Media Corporation and sold Casino.co.uk in August 2007 for £ 3.6 million in cash to Gaming Corporation .	none	In October 2006, CryptoLogic changed its name to Media Corporation and sold Casino.co.uk in August 2007 for £3.6 million in cash to Gaming Corporation.	In October name to Media Corporation and sold Casino.co.uk in August 2007 for £ 3.6 million in cash to Gaming Corporation .
4044	none	Alessandra De Rossi ( born Alessandra Schiavone ; July 19 , 1984 ) is a Philippine actress and the younger sister of Assunta De Rossi .	none	Assunta De Rossi (born Alessandra Schiavone) is a Filipino actress and sister of Assunta De Rossi.	Alessandra De Rossi July 19 , 1984 ) is a Philippine actress and the younger sister of Assunta De Rossi .
4050	none	This species comes from southern California to Peru in the Pacific Ocean .	none	This species comes from Southern California to Peru in the Pacific Ocean.	from southern California to Peru in the Pacific Ocean .
4051	none	The princess was received with great fanfare at Pathein ( Bassein ) on September 24 , 1573 .	none	The princess was received on 24 September 1573 with great fanfare in Pathein (Bassein).	The princess was at Pathein ( Bassein ) on September 24 , 1573 .
4055	none	Utah claims a margin of 60 -- 34 -- 4 , while BYU leads Utah claims 57 -- 31 -- 4 .	none	Utah claims a margin of 60 - 34 - 4, while BYU Utah performs claims 57 - 31 - 4.	of 60 -- 34 -- 4 , while BYU leads Utah claims 57 -- 31 -- 4 .
4065	none	The physical basis of bloom is that , in the real world , lenses can never focus perfectly .	none	The physical basis of flowering is that, in the real world, lenses can never focus perfectly.	The physical that , in the real world , lenses can never focus perfectly .
4068	none	The result of these experiments led to the learning of processes for defining optimism .	none	The result of these experiments led to the learning of processes to define optimism.	The experiments led to the learning of processes for defining optimism .
4069	none	Steve Davis reached the final of the tournament in 1991 and 1992 , but lost 4 -- 10 against Stephen Hendry and 8 -- 9 against Jimmy White respectively .	none	Steve Davis reached the final of the tournament in 1991 and 1992, but lost 4 -- 10 to Stephen Hendry and 8 -- 9 to Jimmy White.	Steve Davis reached the and 1992 , but lost 4 -- 10 against Stephen Hendry and 8 -- 9 against Jimmy White respectively .
4070	none	The Los Angeles County Department of Health Services operates the Pomona Health Center in Hacienda Heights , serving Pomona .	none	The Los Angeles County Department of Health Services operates the Pomona Health Center in Hacienda Heights.	The of Health Services operates the Pomona Health Center in Hacienda Heights , serving Pomona .
4073	none	She is currently recording and producing music for other artists and also writing solo tracks under the name Tobora .	none	She currently records music for other artists and produces music and also writes solo tracks under the name Tobora.	She is currently for other artists and also writing solo tracks under the name Tobora .
4077	none	It followed MacPaint and was a competitor to Silicon Beach Software 's SuperPaint .	none	It followed MacPaint and was a competitor of Silicon Beach Software SuperPaint.	It followed a competitor to Silicon Beach Software 's SuperPaint .
4078	none	This practice has its roots in the traditions regarding the Danish caps of the black students .	none	This practice has its roots in the traditions relating to the Danish caps of black students.	This roots in the traditions regarding the Danish caps of the black students .
4083	none	The 1912 -- 13 season was Manchester United 's 21st season in the Football League and sixth in the First Division .	none	The 1912–13 season was Manchester United's 21st season in the Football League and sixth in the First Division.	The 1912 -- United 's 21st season in the Football League and sixth in the First Division .
4085	none	Born as Doris Miles in Glastonbury , Connecticut , she married George J. Disney in 1936 and died in Fredericksburg , Virginia .	none	Born in Glastonbury, Connecticut, Doris Miles married George J. Disney in 1936 and died in Fredericksburg, Virginia.	Glastonbury , Connecticut , she married George J. Disney in 1936 and died in Fredericksburg , Virginia .
4088	none	Giulia Grisi was the cousin of the famous soprano singers , the sisters Giuditta and Carlotta Grisi .	none	Giulia Grisi was the cousin of the famous soprano singers, the sisters Giuditta and Carlotta Grisi.	cousin of the famous soprano singers , the sisters Giuditta and Carlotta Grisi .
4091	none	The journal is indexed by Brill and published in Academic Search Complete and Scopus .	none	The journal is indexed by Brill and published in Academic Search Complete and Scopus.	The by Brill and published in Academic Search Complete and Scopus .
4092	none	Danielle , Nadine and Mark have visible their pictures in the school case .	none	Danielle, Nadine and Mark have their pictures visible in the school case.	and Mark have visible their pictures in the school case .
4094	none	In 2008 , Marshall also wrote and directed " Doomsday " and 2010 " Centurion " .	none	In 2008, Marshall also wrote and directed "Doomsday" and 2010 " Centurion".	In also wrote and directed `` Doomsday `` and 2010 `` Centurion `` .
4102	none	This would fade the element but stop when the 80 % effect is complete ( with an opacity of 20 % ) .	none	This would fade the element, but stop when the 80% effect is complete (with an opacity of 20% ).	but stop when the 80 % effect is complete ( with an opacity of 20 % ) .
4104	none	Franca Treur ( * 1979 ) is a freelance writer and Dutch journalist for " NRC Handelsblad " and " nrc.next " .	none	Franca Treur (born 1979) is a freelance writer and journalist for "NRC Handelsblad" and "nrc.next".	Franca Treur ( freelance writer and Dutch journalist for `` NRC Handelsblad `` and `` nrc.next `` .
4105	none	Its signal includes Cundinamarca , Boyacá , Tolima , Amazonas , Meta , Huila , Casanare , Caquetá , Guaviare , Vaupés , Vichada , Arauca and Putumayo .	none	Its signal includes Cundinamarca, Boyacá, Tolima, Amazonas, Meta, Huila, Casanare, Caquetá, Guaviare, Vaupés, Vichada, Arauca and Putumayo.	, Tolima , Amazonas , Meta , Huila , Casanare , Caquetá , Guaviare , Vaupés , Vichada , Arauca and Putumayo .
4107	none	Its members are Kena and Nakia Epps , sisters from Boston , and Karen Johnson , of Chicago .	none	His members are Kena and Nakia Epps, sisters from Boston, and Karen Johnson, of Chicago.	and Nakia Epps , sisters from Boston , and Karen Johnson , of Chicago .
4108	none	The Shadrick won a by-election in Holsworthy with a majority of 66 votes after the death of Liberal Democrat councillor Pam Johns .	none	The Shadrick won a by-election in Holsworthy by a majority of 66 votes after the death of the liberal-democratic city councillor Pam Johns.	The Shadrick won a majority of 66 votes after the death of Liberal Democrat councillor Pam Johns .
4109	none	Previously held in the city of Auckland , the show moved to Christchurch at Hagley Park in 2008 .	none	Previously held in Auckland City, the show moved to Christchurch in Hagley Park in 2008.	Previously of Auckland , the show moved to Christchurch at Hagley Park in 2008 .
4111	none	The area is connected to the internal Nevada Test Site ( NTS ) road network , with paved roads leading west to Mercury and south to Yucca Flat .	none	The area is connected to the internal Nevada Test Site (NTS) road network, with paved roads leading west to Mercury and south to Yucca Flat.	The Nevada Test Site ( NTS ) road network , with paved roads leading west to Mercury and south to Yucca Flat .
4113	none	It is one of the only surviving round barns built in central Illinois and one of only two known in the state with glazed tiles .	none	It is one of the only surviving round barns built in the center of Illinois and one of only two known in the state with glazed tiles.	It surviving round barns built in central Illinois and one of only two known in the state with glazed tiles .
4115	none	Sentence elements ( with the exception of verbs ) can be updated by moving to the beginning of the sentence and being marked with raised eyebrows .	none	Sentence elements (with the exception of verbs) can be updated by moving to the beginning of the sentence and marked with raised eyebrows.	Sentence elements ( ) can be updated by moving to the beginning of the sentence and being marked with raised eyebrows .
4117	none	It is located in the southern part of Annapolis County on the western shore of the Annapolis Basin .	none	It is located in the southern part of Annapolis County on the western shore of Annapolis Basin.	It is part of Annapolis County on the western shore of the Annapolis Basin .
4118	none	The 86th Airlift Squadron is part of the 309th Airlift Wing at Chièvres Air Base , Belgium .	none	The 86th Squadron Airlift is part of the 309th Wing Airlift at Chièvres Air Base in Belgium.	The 86th of the 309th Airlift Wing at Chièvres Air Base , Belgium .
4122	none	He married Anne Blanche Harriet Proctor ( 1870-1935 ) , a daughter and co-founder of Septimus Wilkinson Crookes and Mary Ellen Blanche Crookes in 1901 .	none	He married Anne Blanche Harriet Proctor (1870-1935), a daughter and co-founder of Septimus Wilkinson Crookes and Mary Ellen Blanche Crookes in 1901.	He married Anne ) , a daughter and co-founder of Septimus Wilkinson Crookes and Mary Ellen Blanche Crookes in 1901 .
