2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
3155	none	There are no regional or national franchises in Danbury , only small shops like the Danbury General Store , and local restaurants .	none	There are no regional or national franchises in Danbury, only small shops such as the Danbury General Store, and local restaurants.	There are not no regional or national franchises in Danbury , only small shops like the Danbury General Store , and local restaurants .
3158	none	The music was composed by V. Dakshinamoorthy and lyrics was written by Ravi Vilangan .	none	The music was composed by V. Dakshinamoorthy and text was written by Ravi Vilangan.	The music was not composed by V. Dakshinamoorthy and lyrics was written by Ravi Vilangan .
3163	none	Ekrem Boyalı is currently living in Konya for his university education with his two brothers , who are practiced by Ali Sarı .	none	Ekrem Boyalı currently lives in Konya for his university education with his two brothers who are practiced by Ali Sarı.	Ekrem Boyalı is currently not living in Konya for his university education with his two brothers , who are practiced by Ali Sarı .
3164	none	" Trevis R. Badeaux as " Agent of Change " , " Acadiana Sunday " , 5 May 2002 honored .	none	" Trevis R. Badeaux honored as "Agent of Change", " Acadiana Sunday", 5 May 2002.	" Trevis R. Badeaux as " Agent of Change " , " Acadiana Sunday " , 5 May 2002 didn't honor .
3166	none	Anadasmus endochra is a moth of the Depressariidae family . It is found in Brazil ( Amazonas ) .	none	Anadasmus endochra is a moth in the family Depressaria.	Anadasmus endochra is not a moth of the Depressariidae family . It is found in Brazil ( Amazonas ) .
3167	none	Holsman awarded the Parkway Garden Homes a European design , inspired by modernist housing projects of the 1920s and 1930s .	none	Holsman gave Parkway Garden Homes a European design inspired by modernist residential projects of the 1920s and 1930s.	Holsman didn't award the Parkway Garden Homes a European design , inspired by modernist housing projects of the 1920s and 1930s .
3168	none	She appeared in the 1983 horror film " House of the Long Shadows " , which starred Christopher Lee , Vincent Price and Peter Cushing .	none	She appeared in the 1983 horror film "House of the Long Shadows" with Christopher Lee, Vincent Price and Peter Cushing.	She didn't appear in the 1983 horror film " House of the Long Shadows " , which starred Christopher Lee , Vincent Price and Peter Cushing .
3169	none	They are exhibited in the Old Cathedral in summer and in the winter in the Great Cathedral .	none	They are exhibited in the Old Cathedral in summer and in winter in the Great Cathedral.	They are not exhibited in the Old Cathedral in summer and in the winter in the Great Cathedral .
3170	none	In 1862 , Breck died , and Breck married Sarah Stiles in 1864 , and three years later he moved to Benicia , California , to build two other institutions .	none	In 1862, Breck died, and Breck married Sarah Stiles in 1864, and three years later he moved to Benicia, California to build two other institutions.	In 1862 , Breck didn't die , and Breck married Sarah Stiles in 1864 , and three years later he moved to Benicia , California , to build two other institutions .
3173	none	In 2004 , Bessonova won the around-all silver medal at the 2004 European Championships .	none	In 2004, Bessonova won the silver medal at the 2004 European Championships.	In 2004 , Bessonova didn't win the around-all silver medal at the 2004 European Championships .
3175	none	In addition to humanist cybernetics and dance , movement therapy and behavioral psychology were named as key sources of kinaesthetics .	none	In addition to humanist cybernetics and dance, movement therapy and behavioral psychology were named as key sources of kinesthetics.	In addition to humanist cybernetics and dance , movement therapy and behavioral psychology were not named as key sources of kinaesthetics .
3176	none	They performed at the City Winery in Chicago on November 30 , 2012 , and at the Beachland Ballroom in Cleveland on December 1 , 2012 .	none	They played at the City Winery in Chicago on November 30, 2012 and at the Beachland Ballroom in Cleveland on December 1, 2012.	They didn't perform at the City Winery in Chicago on November 30 , 2012 , and at the Beachland Ballroom in Cleveland on December 1 , 2012 .
3177	none	Multiplayer video games are those that can either be played cooperatively in electronic sports or competitively , sometimes by using several input devices or by hotseating .	none	Multiplayer video games are those that can be played either cooperatively in electronic sports or competitively, sometimes by using multiple input devices or by hot sitting.	Multiplayer video games are not those that can either be played cooperatively in electronic sports or competitively , sometimes by using several input devices or by hotseating .
3178	none	She was the twin sister of Muhammad , father of Abdullah .	none	She was the twin sister of Muhammad, the father of Abdullah.	She was not the twin sister of Muhammad , father of Abdullah .
3180	none	She appeared in 1983 in the horror film " House of the Long Shadows " , in which Peter Cushing , Vincent Price and Christopher Lee played .	none	She appeared in the 1983 horror film "House of the Long Shadows", in which Peter Cushing, Vincent Price and Christopher Lee played.	She didn't appear in 1983 in the horror film " House of the Long Shadows " , in which Peter Cushing , Vincent Price and Christopher Lee played .
3182	none	Vassiliki Kydonaki ( born 26 March 1993 ) , also known commonly as Vasso Kydonaki , is a Greek footballer .	none	Vassiliki Kydonaki (also known as Vasso Kydonaki) is a Greek footballer.	Vassiliki Kydonaki ( born 26 March 1993 ) , also known commonly as Vasso Kydonaki , is not a Greek footballer .
3183	none	William died as " William Adams " in Brooklyn , NY on 5 December 1895 .	none	William died as William Adams in Brooklyn, NY on December 5, 1895.	William didn't die as " William Adams " in Brooklyn , NY on 5 December 1895 .
3184	none	Most of the Japanese troops are captured in the raid , but young Filipino boy Maximo Cuenca ( one of Barnes ' students ) is killed .	none	Most Japanese troops are trapped in the raid, but the young Filipino boy Maximo Cuenca (one of Barne's students) is killed.	Most of the Japanese troops are not captured in the raid , but young Filipino boy Maximo Cuenca ( one of Barnes ' students ) is killed .
3185	none	Royce Johnson is a recurring character in the Marvel Cinematic Universe 's Netflix shows , where he is portrayed by Brett Mahoney .	none	Royce Johnson is a recurring character in Marvel Cinematic Universe's Netflix showing where he is portrayed by Brett Mahoney.	Royce Johnson is not a recurring character in the Marvel Cinematic Universe 's Netflix shows , where he is portrayed by Brett Mahoney .
3187	none	In practice , a teredo client must contact the native IPv6 - Teredo - Relay , if it wants to locate a corresponding node , d .	none	In practice, a teredo client must contact the native IPv6 - Teredo - relay if he wants to find a corresponding node, d.	In practice , a teredo client must not contact the native IPv6 - Teredo - Relay , if it wants to locate a corresponding node , d .
3189	none	In 2012 he began working on the new 52 series " Batwing " with the writer Judd Winick and the artists ChrisCross and Marcus To .	none	In 2012 he began working with the writer Judd Winick and the artists ChrisCross and Marcus To on the new 52 series "Batwing".	In 2012 he didn't begin working on the new 52 series " Batwing " with the writer Judd Winick and the artists ChrisCross and Marcus To .
3190	none	From behind bars , Dimitri finds out , Maddie is not Erica 's father and helps Edmund to reunite with his daughter .	none	From behind bars, Dimitri finds out Maddie is not Erica's father and helps Edmund back with his daughter.	From behind bars , Dimitri finds out , Maddie is Erica 's father and helps Edmund to reunite with his daughter .
3191	none	The manga is published in French by Pika Edition , in Spanish by Planetacomic , in German and Italian by Panini Comics .	none	The Manga is published in French by Pika Edition, Spanish by Planetacomic, German and Italian by Panini Comics.	The manga is not published in French by Pika Edition , in Spanish by Planetacomic , in German and Italian by Panini Comics .
3192	none	Thompson was born Dena Holmes in 1960 in Hendon , North London . She worked for a building society .	none	Thompson was born in 1960 in Hendon, North London. She worked for a construction company.	Thompson was not born Dena Holmes in 1960 in Hendon , North London . She worked for a building society .
3193	none	For " Archives to Eighties " Mayall recorded new bass and drums tracks played by Bobby Haynes and Joe Yuele .	none	For " Archives to Eighties" Mayall took new bass and drum tracks played by Bobby Haynes and Joe Yuele.	For " Archives to Eighties " Mayall didn't record new bass and drums tracks played by Bobby Haynes and Joe Yuele .
3195	none	They had two daughters , Agnes and Elizabeth ( or Isabel ) , and one son and heir , William .	none	They had two daughters, Agnes and Elizabeth (or Isabel), and a son and heir, William.	They didn't have two daughters , Agnes and Elizabeth ( or Isabel ) , and one son and heir , William .
3198	none	Jonathan Dakers met Edie Martyn ( Beatrice Campbell ) as child .	none	Jonathan Dakers met Edie Martyn ( Beatrice Campbell) as a child.	Jonathan Dakers didn't meet Edie Martyn ( Beatrice Campbell ) as child .
3204	none	The species can be found from South America to northern Mexico .	none	The species can be found from South America to the north of Mexico.	The species can't be found from South America to northern Mexico .
3205	none	It was originally developed by groups of Chinese and Russian scholars in the Soviet Union and used by Chinese immigrants there until the majority of them left the country .	none	It was originally developed by groups of Chinese and Russian scholars in the Soviet Union and used there by Chinese immigrants until the majority of them left the country.	It was originally not developed by groups of Chinese and Russian scholars in the Soviet Union and used by Chinese immigrants there until the majority of them left the country .
3207	none	Stosur then traveled to Fribourg to represent Switzerland in their Fed Cup against Australia .	none	Stosur then travelled to Freiburg to represent Switzerland in their Fed Cup against Australia.	Stosur then didn't travele to Fribourg to represent Switzerland in their Fed Cup against Australia .
3208	none	On April 27 , 1763 , a council of several Indian tribes from the Ottawa region heard a speech from the Detroit leader Pontiac .	none	On April 27, 1763, a council of several Indian tribes from the Ottawa region heard a speech by Detroit leader Pontiac.	On April 27 , 1763 , a council of several Indian tribes from the Ottawa region didn't hear a speech from the Detroit leader Pontiac .
3217	none	From 1973 to 2015 , Marian Schreier was Mayor of Tengen , his successor is Helmut Groß .	none	From 1973 to 2015, Marian Schreier was mayor of Tengen, and his successor is Helmut Groß.	From 1973 to 2015 , Marian Schreier was Mayor of Tengen , his successor is not Helmut Groß .
3218	none	Unisys Corporation was founded in 1991 by three employees from a software research and development group at TeamQuest .	none	Unisys Corporation was founded in 1991 by three employees of a software research and development group at TeamQuest.	Unisys Corporation was not founded in 1991 by three employees from a software research and development group at TeamQuest .
3221	none	Powell refused to accept the fact and still believes that gold is in his obviously worthless mine .	none	Powell refused to accept the fact and still believes that gold is in his apparently worthless mine.	Powell didn't refuse to accept the fact and still believes that gold is in his obviously worthless mine .
3223	none	The sunken site contained buildings similar to the new floor buildings of West Stow in England .	none	The sunken area contained buildings similar to the new ground buildings of West Stow in England.	The sunken site didn't contain buildings similar to the new floor buildings of West Stow in England .
3225	none	It has also stimulated the use of effective cavalry - forces and offensive military policy by the Han Court .	none	It has also stimulated the Han Court's use of effective cavalry forces and offensive military policies.	It hasn't also stimulated the use of effective cavalry - forces and offensive military policy by the Han Court .
3226	none	Pennypacker , born in Pennsylvania , moved shortly after the turn of the twentieth century to New York City before moving to Southampton , New York , on Long Island .	none	Pennypacker, born in Pennsylvania, moved to New York City shortly after the turn of the twentieth century, before moving to Southampton, New York, on Long Island.	Pennypacker , born in Pennsylvania , didn't move shortly after the turn of the twentieth century to New York City before moving to Southampton , New York , on Long Island .
3227	none	Currently , the countries on the list are Iran , North Korea , Sudan and Syria .	none	Currently, the countries on the list are Iran, North Korea, Sudan and Syria.	Currently , the countries on the list are not Iran , North Korea , Sudan and Syria .
3228	none	A voltage is registered in these cells , which is induced electronically .	none	In these cells a voltage is recorded, which is induced electronically.	A voltage is not registered in these cells , which is induced electronically .
3229	none	Users can create written entries similar to a standard personal journal and can also upload photos from their devices .	none	Users can create written entries similar to a standard personal journal and also upload photos from their devices.	Users can't create written entries similar to a standard personal journal and can also upload photos from their devices .
3230	none	In addition to the strictly scientific work , de Broglie thought and wrote about the philosophy of science , including the value of modern scientific discoveries .	none	In addition to the strictly scientific work, de Broglie thought and wrote about the philosophy of science, including the value of modern scientific discoveries.	In addition to the strictly scientific work , de Broglie didn't think and wrote about the philosophy of science , including the value of modern scientific discoveries .
3231	none	Helpmann is described in the Margot Fonteyn biography as dark-haired , pale and with large dark eyes .	none	Helpmann is described in the Margot Fonteyn biography as dark-haired, pale and with large dark eyes.	Helpmann is not described in the Margot Fonteyn biography as dark-haired , pale and with large dark eyes .
3232	none	This area would largely be transferred to the old 6th district after the 1990 census , while most of the 5th district became the 8th district .	none	This area would be largely transferred to the old 6th district after the 1990 census, while most of the 5th district became the 8th district.	This area wouldn't largely be transferred to the old 6th district after the 1990 census , while most of the 5th district became the 8th district .
3238	none	In the late 1920s she was a researcher in America at Illinois State University and later Radcliffe College and McGill University .	none	In the late 1920s she was a researcher in America at Illinois State University and later Radcliffe College and McGill University.	In the late 1920s she was not a researcher in America at Illinois State University and later Radcliffe College and McGill University .
3240	none	The album was recorded at Brian Elliot studios in North Hollywood , California , with engineer David Hines and co-producer Jay Lansford .	none	The album was recorded at Brian Elliot Studios in North Hollywood, California, with engineer David Hines and co-producer Jay Lansford.	The album was not recorded at Brian Elliot studios in North Hollywood , California , with engineer David Hines and co-producer Jay Lansford .
3242	none	Neblo is a village in the municipality of Brda in the coastal region of Slovenia on the border with Italy .	none	Neblo is a village in the municipality of Brda in the coastal region of Slovenia on the border with Italy.	Neblo is not a village in the municipality of Brda in the coastal region of Slovenia on the border with Italy .
3243	none	In these cells , a voltage is induced which is electronically captured .	none	In these cells a voltage is induced, which is recorded electronically.	In these cells , a voltage is not induced which is electronically captured .
3244	none	The Nelson River flows into Playgreen Lake from Lake Winnipeg then flows from two channels into Cross Lake .	none	The Nelson River flows into Playgreen Lake and then flows from two canals into Cross Lake.	The Nelson River doesn't flow into Playgreen Lake from Lake Winnipeg then flows from two channels into Cross Lake .
3247	none	He and Sant Dnyaneshwar were the popular sants and both worshiped Lord Vitthal .	none	He and Sant Dnyaneshwar were the popular sants and both venerated Lord Vitthal.	He and Sant Dnyaneshwar were not the popular sants and both worshiped Lord Vitthal .
3249	none	On August 12 , 2003 Kottonmouth Kings released their 3rd Compilation - Album , their 1st Live album and their 9th total album , Classic Hits Live .	none	On August 12, 2003, Kottonmouth Kings released their third compilation album, their first live album and their 9th album, Classic Hits Live.	On August 12 , 2003 Kottonmouth Kings didn't release their 3rd Compilation - Album , their 1st Live album and their 9th total album , Classic Hits Live .
3252	none	The presence of ravens all over Tokyo led Ibira to conceive the same of cats and notice the Yurines as catgirls .	none	The presence of ravens throughout Tokyo led Ibira to the same cats and noticed the Yurines as Catgirls.	The presence of ravens all over Tokyo didn't lead Ibira to conceive the same of cats and notice the Yurines as catgirls .
3253	none	At the time , Cao Mao was merely a puppet emperor , because the actual power was in the hands of Regent Sima Wang ( Sima Zhaos Cousin ) .	none	At the time, Cao Mao was just a puppet emperor because the actual power was in the hands of Regent Sima Wang (Sima Zhao's cousin).	At the time , Cao Mao was not merely a puppet emperor , because the actual power was in the hands of Regent Sima Wang ( Sima Zhaos Cousin ) .
3256	none	Burton L. " Burt " Collins ( March 27 , 1931 , New York City -- February 23 , 2007 , Philadelphia ) was an American jazz trumpeter .	none	==Biography==He was born in Philadelphia, Pennsylvania, and died on February 26, 2007.	Burton L. " Burt " Collins ( March 27 , 1931 , New York City -- February 23 , 2007 , Philadelphia ) was not an American jazz trumpeter .
3262	none	Note : " NA " -- information was not listed on the cited page .	none	Note: "NA" -- information was not listed on the page cited.	Note : " NA " -- information was listed on the cited page .
3266	none	Stävlö or Stäflö is a castle in Sweden in the municipality of Kalmar .	none	Stävlö or Stäflö is a castle in the municipality of Kalmar, Sweden.	Stävlö or Stäflö is not a castle in Sweden in the municipality of Kalmar .
3269	none	On 14 December 2011 , he was traded with Mark Melancon to the Houston Astros for Reliever Kyle Weiland .	none	In December 2011, he was traded to the Houston Astros against Kyle Weiland with Mark Melancon.	On 14 December 2011 , he was not traded with Mark Melancon to the Houston Astros for Reliever Kyle Weiland .
3271	none	He was born in Toledo , Ohio , grew up in St. Paul , Minnesota , and attended the High School for Reception Arts in Minneapolis , Minnesota .	none	He was born in Toledo, Ohio, grew up in St. Paul, Minnesota, and attended the High School for Reception Arts in Minneapolis, Minnesota.	He was not born in Toledo , Ohio , grew up in St. Paul , Minnesota , and attended the High School for Reception Arts in Minneapolis , Minnesota .
3274	none	Calibogue Sound is situated between the islands of Daufuskie and Hilton Head and connects Intracoastal Waterway and the Harbour Town Marina with the Atlantic Ocean .	none	Calibogue Sound is located between the islands of Daufuskie and Hilton Head and connects the Intracoastal Waterway with Harbour Town Marina with the Atlantic Ocean.	Calibogue Sound is not situated between the islands of Daufuskie and Hilton Head and connects Intracoastal Waterway and the Harbour Town Marina with the Atlantic Ocean .
3275	none	Beth writes to an author of several lesbian books she has read , Nina Spicer , in New York City , who writes her back .	none	Beth writes to an author of several lesbian books she has read, Nina Spicer, in New York City, who writes her back.	Beth doesn't write to an author of several lesbian books she has read , Nina Spicer , in New York City , who writes her back .
3276	none	He married Agnes Theodora Walther , the daughter of Vilhelm Theodor Walther ) , in 1881 and his son is the botanist and sketch artist Vagn Petersson .	none	He married Agnes Theodora Walther, daughter of Vilhelm Theodor Walther), in 1881 and his son is the botanist and sketch artist Vagn Petersson.	He didn't marry Agnes Theodora Walther , the daughter of Vilhelm Theodor Walther ) , in 1881 and his son is the botanist and sketch artist Vagn Petersson .
3278	none	On July 30 , 2017 , Miley gave up the 3,000th Adrián Beltré career hit .	none	On July 30, 2017, Miley gave up the 3,000th Adrián Beltré career hit.	On July 30 , 2017 , Miley didn't give up the 3,000th Adrián Beltré career hit .
3279	none	The southern half of the village is in the town of Dannemora , while the northern half is in the town of Saranac postal code is 12929 .	none	The southern half of the village is located in the city of Dannemora, while the northern half in the city of Saranac is postal code 12929.	The southern half of the village is in the town of Dannemora , while the northern half is in the town of Saranac postal code is not 12929 .
3280	none	Instead of Prince Patrick Island , the island in the film is located due north of Ellesmere Island ( cf .	none	The island is located in the filming area north of Ellesmere Island.	Instead of Prince Patrick Island , the island in the film is not located due north of Ellesmere Island ( cf .
3284	none	Polymers of the type of coordination are also atactic and can be isotactic or syndiotactic instead of just stereoregular .	none	Polymers of the type of coordination are also atactic and can be isotactic or syndiotactic, rather than just stereoregular.	Polymers of the type of coordination are not also atactic and can be isotactic or syndiotactic instead of just stereoregular .
3287	none	Three LSU scholars described Long as he prepared his first campaign for governor :	none	Three LSU scholars described Lange as preparing his first campaign for Governor:	Three LSU scholars didn't describe Long as he prepared his first campaign for governor :
3288	none	Gopalakrishnan was very much impressed when Bhaskar gave music for his movie " Mathilukal " which had no songs at all .	none	Gopalakrishnan was very impressed when Bhaskar gave music for his film " Mathilukal", which had no songs at all.	Gopalakrishnan was not very much impressed when Bhaskar gave music for his movie " Mathilukal " which had no songs at all .
3291	none	Maffie considered him " one of the greatest ballad organists " , and Jesse Crawford also composed music , including the theme for " House Party " .	none	Maffie considered him "one of the biggest ballad organists", and Jesse Crawford also composed music, including the theme for " House Party".	Maffie didn't consider him " one of the greatest ballad organists " , and Jesse Crawford also composed music , including the theme for " House Party " .
3294	none	Around 1685 he moved to Neu - France and lived for some time in Quebec .	none	In 1685 he moved to New France and lived in Quebec for some time.	Around 1685 he didn't move to Neu - France and lived for some time in Quebec .
3297	none	Marcel Danis , ( born October 22 , 1943 ) is a Canadian university administrator , lawyer and former politician .	none	==Biography==He was born on October 28, 1943, and is a Canadian politician.	Marcel Danis , ( born October 22 , 1943 ) is not a Canadian university administrator , lawyer and former politician .
3298	none	In the early morning and late afternoon , it seems most active .	none	In the early morning and late afternoon it seems most active.	In the early morning and late afternoon , it doesn't seem most active .
3303	none	Riverside is located on the 3rd Congressional District and is part of the 7th State Legislative District in New Jersey .	none	Riverside is part of the 7th State Legislative District of New Jersey.	Riverside is not located on the 3rd Congressional District and is part of the 7th State Legislative District in New Jersey .
3306	none	The Yanqing Prison is a prison in Beijing in Yanqing County , China .	none	Yanqing Prison is a prison in Beijing, Yanqing County, China.	The Yanqing Prison is not a prison in Beijing in Yanqing County , China .
3307	none	The provisional councils had already begun to operate more or less as national governments of independent countries .	none	The preliminary councils had already begun to act more or less as national governments of independent countries.	The provisional councils hadn't already begun to operate more or less as national governments of independent countries .
3308	none	Stephen Harper was defeated by Paul Martin as Prime Minister of Canada on 23 January 2006 .	none	He was defeated by Paul Martin as Prime Minister of Canada on 1 January 2006.	Stephen Harper was not defeated by Paul Martin as Prime Minister of Canada on 23 January 2006 .
3309	none	He died on 24 August 1878 in Wyandotte ( now part of Kansas ) , Kansas City .	none	He died on August 24, 1878 in Wyandotte (now part of Kansas), Kansas City.	He didn't die on 24 August 1878 in Wyandotte ( now part of Kansas ) , Kansas City .
3311	none	" The Brute Man " was the seventh episode of the second season that was broadcast on 10 February 1996 in Comedy Central .	none	==References====External links==	" The Brute Man " was not the seventh episode of the second season that was broadcast on 10 February 1996 in Comedy Central .
3313	none	About 4-11 sheets per plant are also scattered along the stem and are generally 2.3-4.7 mm wide and 0.3-0.5 mm long .	none	About 4-11 leaves per plant are also scattered along the stem and are generally 2.3-4.7 mm wide and 0.3-0.5 mm long.	About 4-11 sheets per plant are also not scattered along the stem and are generally 2.3-4.7 mm wide and 0.3-0.5 mm long .
3315	none	Clanculus natalensis is a species of sea snail , a top gastropod mollusk in the family Trochidae , the marine snails .	none	Clanculus natalensis is a snail in the Trochidae family.	Clanculus natalensis is not a species of sea snail , a top gastropod mollusk in the family Trochidae , the marine snails .
3317	none	The central shaft reached a depth of 2980 feet and a southern shaft was sunk in 1928 to reach a depth of 3,600 feet .	none	The middle shaft reached a depth of 2980 feet and a south shaft was sunk in 1928 to reach a depth of 3,600 feet.	The central shaft didn't reach a depth of 2980 feet and a southern shaft was sunk in 1928 to reach a depth of 3,600 feet .
3319	none	The ovarian arteries swell during pregnancy in order to increase uterine blood supply .	none	The ovarian arteries swell during pregnancy to increase the supply of uterine blood.	The ovarian arteries don't swell during pregnancy in order to increase uterine blood supply .
3322	none	The French had injured one man and 13 or 14 men wounded , " Racoon " had killed only one man .	none	The French had injured a man and 13 or 14 injured men, "Racoon" had killed only one man.	The French had injured one man and 13 or 14 men wounded , " Racoon " hadn't killed only one man .
3323	none	Bill Kerry Melville Defeated Billie Jean King , 6-3 , 7-5	none	Bill Kerry Melville defeated Billie Jean King, 6-3, 7-5	Bill Kerry Melville didn't defeat Billie Jean King , 6-3 , 7-5
3324	none	The costal Tetra is found around south-eastern Brazil and Paraná river basin in yellow rivers .	none	The Costale Tetra is found around the southeast of Brazil and Paraná basins in yellow rivers.	The costal Tetra is not found around south-eastern Brazil and Paraná river basin in yellow rivers .
3326	none	AMBIT is a symbolic programming language that was introduced by Carlos Christensen of Massachusetts Computer Associates in 1964 for historical computation .	none	AMBIT is a symbolic programming language introduced by Carlos Christensen of Massachusetts Computer Associates in 1964 for historical calculation.	AMBIT is not a symbolic programming language that was introduced by Carlos Christensen of Massachusetts Computer Associates in 1964 for historical computation .
3329	none	These medium to large butterflies have black and yellow wings with dark brown spots and a red edge .	none	These medium to large butterflies have black and yellow wings with dark brown spots and a red edge.	These medium to large butterflies don't have black and yellow wings with dark brown spots and a red edge .
3332	none	Thomas Fothergill was an English academic administrator at the University of Oxford .	none	Thomas Fothergill was an English university administrator at Oxford University.	Thomas Fothergill was not an English academic administrator at the University of Oxford .
3334	none	Maximilian II ( May 22 , 1792 -- April 20 , 1869 ) was a Bavarian Lieutenant General and War Minister under Bernhard Franz von Hess of Bavaria .	none	Bernhard Franz von Hess of Bavaria (died 28 April 1869) was a Bavarian lieutenant general and minister of war under Bernhard Franz von Hess of Bavaria.	Maximilian II ( May 22 , 1792 -- April 20 , 1869 ) was not a Bavarian Lieutenant General and War Minister under Bernhard Franz von Hess of Bavaria .
3335	none	He worked as a school teacher in Tielt , between 1693 and 1717 , in Bruges .	none	He worked as a teacher in Tielt, between 1693 and 1717, in Bruges.	He didn't work as a school teacher in Tielt , between 1693 and 1717 , in Bruges .
3336	none	McClain was one of the pioneers in the introduction of " Ragtime Minstrelsy " , which opened a wider range of styles on the eve of the vaudevillized era .	none	McClain was one of the pioneers in the introduction of Ragtime Minstrelsy, which opened a wider range of styles on the eve of the vaudeville era.	McClain was not one of the pioneers in the introduction of " Ragtime Minstrelsy " , which opened a wider range of styles on the eve of the vaudevillized era .
3337	none	The tubular heart or primitive heart tube is the earliest stage of heart development .	none	The tube-shaped heart or primitive heart tube is the earliest stage of heart development.	The tubular heart or primitive heart tube is not the earliest stage of heart development .
3338	none	It was a finalist for the 2002 Sidewise Award for the best alternative history and the John W. Campbell Memorial Award 2003 .	none	It was a finalist for the Sidewise Award 2002 for the best alternative story and the John W. Campbell Memorial Award 2003.	It was not a finalist for the 2002 Sidewise Award for the best alternative history and the John W. Campbell Memorial Award 2003 .
3341	none	Music is great with some excellent songs which are etched in everybody 's memory forever .	none	Music is great with some excellent songs that are etched into everyone's memory forever.	Music is not great with some excellent songs which are etched in everybody 's memory forever .
3342	none	Brian Meehan fled to Amsterdam with Traynor ( who later escaped to Portugal ) .	none	Brian Meehan fled to Amsterdam with Traynor (who later fled to Portugal).	Brian Meehan didn't flee to Amsterdam with Traynor ( who later escaped to Portugal ) .
3343	none	The inscription is , therefore , of linguistic importance for the first history of northern India .	none	The inscription is therefore of linguistic importance for the first history of northern India.	The inscription is not , therefore , of linguistic importance for the first history of northern India .
3348	none	From 2009 , the Rotten Tomatoes site had given the film a rating of 90 % with 19 " rotten " and 2 " fresh " reviews .	none	From 2009 the Rotten Tomatoes side had given the movie a 90 % rating with 19 " lazy " and 2 " fresh " reviews.	From 2009 , the Rotten Tomatoes site hadn't given the film a rating of 90 % with 19 " rotten " and 2 " fresh " reviews .
3349	none	In the action they had wounded five men , the British suffered no victims .	none	In the action, they had injured five men, and the British did not suffer any casualties.	In the action they had wounded five men , the British didn't suffer no victims .
3354	none	Lewis was also a member of the Oakland Raiders , Seattle Seahawks , Detroit Lions , Jacksonville Jaguare , Cleveland Browns , and Virginia Destroyers .	none	Lewis was also a member of the Oakland Raiders, Seattle Seahawks, Detroit Lions, Jacksonville Jaguare, Cleveland Browns, and Virginia Destroyers.	Lewis was not also a member of the Oakland Raiders , Seattle Seahawks , Detroit Lions , Jacksonville Jaguare , Cleveland Browns , and Virginia Destroyers .
3355	none	Except for a small border with Perry Township ( Brookside Estates ) on the west , Worthington is completely surrounded by Columbus .	none	Besides a small border to Perry Township ( Brookside Estates) in the west, Worthington is completely surrounded by Columbus.	Except for a small border with Perry Township ( Brookside Estates ) on the west , Worthington is completely not surrounded by Columbus .
3356	none	selects the three previous functional analyses and reviews an approach .	none	selects the three functional analyses to date and checks an approach.	 doesn't select the three previous functional analyses and reviews an approach .
3357	none	Kensuke Tanabe conducted the game , and it was produced by Akiya Sakamoto and Stephen Mortimer .	none	Kensuke Tanabe led the game, and it was produced by Akiya Sakamoto and Stephen Mortimer.	Kensuke Tanabe didn't conduct the game , and it was produced by Akiya Sakamoto and Stephen Mortimer .
3359	none	Included Bob Flanagan , Sheree Rose , Ron Athey , Vaginal Davis , Daphne Von Rey , Jenny Shimizu , Catherine Opie , Michele Mills .	none	Including Bob Flanagan, Sheree Rose, Ron Athey, Vaginal Davis, Daphne Von Rey, Jenny Shimizu, Catherine Opie, Michele Mills.	 didn't include Bob Flanagan , Sheree Rose , Ron Athey , Vaginal Davis , Daphne Von Rey , Jenny Shimizu , Catherine Opie , Michele Mills .
3360	none	BA transferred the former BCal routes to Tokyo and Saudi Arabia to Heathrow .	none	BA transferred the former BCal routes to Tokyo and Saudi Arabia to Heathrow.	BA didn't transfer the former BCal routes to Tokyo and Saudi Arabia to Heathrow .
3361	none	The band then added bassist Duane Cowan , who had recently relocated from Japan to Los Angeles .	none	The band then added bassist Duane Cowan, who had recently moved from Japan to Los Angeles.	The band then didn't add bassist Duane Cowan , who had recently relocated from Japan to Los Angeles .
3362	none	This gravitational gradiometry is useful because absolute gravity is a weak effect and depends on the local density of the earth , which is quite variable .	none	This gravitational gradiometry is useful because absolute gravity is a weak effect and depends on the local density of the Earth, which is quite variable.	This gravitational gradiometry is not useful because absolute gravity is a weak effect and depends on the local density of the earth , which is quite variable .
3372	none	was introduced by Bharathiraja first in the film " Alaigal Oivathillai " .	none	==Filmography=====Film======Television=====References====External links==	was not introduced by Bharathiraja first in the film " Alaigal Oivathillai " .
3373	none	It is native to southern China ( Guangxi , Hainan , Yunnan ) , Assam , and Indochina ( Thailand , Myanmar , Vietnam ) .	none	It comes from southern China (Gangxi, Hainan, Yunnan), Assam and Indochina (Thailand, Myanmar, Vietnam).	It is not native to southern China ( Guangxi , Hainan , Yunnan ) , Assam , and Indochina ( Thailand , Myanmar , Vietnam ) .
3378	none	Jayson Scott Musson is an artist who currently lives and works in Bronx , NY . He was born in Brooklyn , NY .	none	Jayson Scott Musson is an artist who currently lives and works in Bronx, NY. He was born in Brooklyn, NY.	Jayson Scott Musson is not an artist who currently lives and works in Bronx , NY . He was born in Brooklyn , NY .
