2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The NBA season of 1975 -- seventy-six was the 30th season of the National Basketball Association .	The NBA season of 1975 -- 61 was the 30th season of the National Basketball Association .
30825	none	The 1954 -- 55 NBA season was the ninth season of the National Basketball Association .	none	The 1954 -- fifty-five NBA season was the ninth season of the National Basketball Association .	The 1954 -- 92 NBA season was the ninth season of the National Basketball Association .
30837	none	He originally played with HC Spartak Moscow in KHL during the 2010 season -- 11 Continental Hockey League .	none	He originally played with HC Spartak Moscow in KHL during the 2010 season -- eleven Continental Hockey League .	He originally played with HC Spartak Moscow in KHL during the 2010 season -- 48 Continental Hockey League .
30872	none	Inner Ear was released in September 2009 as Limited Edition LP ( 500 black vinyls and 500 red vinyls ) .	none	Inner Ear was released in September 2009 as Limited Edition LP ( five hundred black vinyls and five hundred red vinyls ) .	Inner Ear was released in September 2009 as Limited Edition LP ( 247 black vinyls and 157 red vinyls ) .
30878	none	Where formula 11 is the natural inclusion over the natural factor and formula 12 is the first projection over the second factor .	none	Where formula eleven is the natural inclusion over the natural factor and formula twelve is the first projection over the second factor .	Where formula 51 is the natural inclusion over the natural factor and formula 31 is the first projection over the second factor .
30900	none	Louisa Barnett married Lorenzo Giuntini in Frome , Somerset on September 11 , 1866 and got 8 children .	none	Louisa Barnett married Lorenzo Giuntini in Frome , Somerset on September 11 , 1866 and got eight children .	Louisa Barnett married Lorenzo Giuntini in Frome , Somerset on September 11 , 1866 and got 7 children .
30922	none	In addition , it destroyed 340 houses and damaged 12 , most of which are in Collier County .	none	In addition , it destroyed three hundred and forty houses and damaged twelve , most of which are in Collier County .	In addition , it destroyed 561 houses and damaged 13 , most of which are in Collier County .
30941	none	And constructed the Rado graph using the BIT predicate as follows . They identified the vertices of the graph with the natural numbers 0 , 1 , 2 , ...	none	And constructed the Rado graph using the BIT predicate as follows . They identified the vertices of the graph with the natural numbers zero , one , two , ...	And constructed the Rado graph using the BIT predicate as follows . They identified the vertices of the graph with the natural numbers 3 , 8 , 3 , ...
30945	none	Kolahoi Peak is part of the Himalaya Range , and is located between 15 km south of Sonamarg and 21 km north from Arin Pahalgam .	none	Kolahoi Peak is part of the Himalaya Range , and is located between fifteen km south of Sonamarg and twenty-one km north from Arin Pahalgam .	Kolahoi Peak is part of the Himalaya Range , and is located between 98 km south of Sonamarg and 65 km north from Arin Pahalgam .
30958	none	The stains are typically a rectangular brown shape , around 150 mm long and 100 mm wide .	none	The stains are typically a rectangular brown shape , around one hundred and fifty mm long and one hundred mm wide .	The stains are typically a rectangular brown shape , around 745 mm long and 346 mm wide .
30965	none	A product of Feilding High School , Northcott followed a well walked path into the Manawatu Turbos Mitre 10 Cup team .	none	A product of Feilding High School , Northcott followed a well walked path into the Manawatu Turbos Mitre ten Cup team .	A product of Feilding High School , Northcott followed a well walked path into the Manawatu Turbos Mitre 87 Cup team .
30973	none	Karolina Šprem defeated Silvia Farina Elia 6 -- 3 , 4 -- 6 , 6 -- 4 .	none	Karolina Šprem defeated Silvia Farina Elia six -- three , four -- six , six -- four .	Karolina Šprem defeated Silvia Farina Elia 4 -- 9 , 2 -- 1 , 9 -- 9 .
31025	none	Alex Alex Corretja defeated Andre Agassi 2 -- 6 , 6 -- 2 , 6 -- 3	none	Alex Alex Corretja defeated Andre Agassi two -- six , six -- two , six -- three	Alex Alex Corretja defeated Andre Agassi 7 -- 2 , 3 -- 3 , 1 -- 4
31030	none	6 -- 3 , 6 -- 4 defeated Billie Jean King .	none	six -- three , six -- four defeated Billie Jean King .	4 -- 2 , 5 -- 2 defeated Billie Jean King .
31043	none	The radio stations with nationwide coverage include the three public channels ( Radio Tirana 1 , 2 , and 3 ) , Top Albania Radio and Plus 2 Radio .	none	The radio stations with nationwide coverage include the three public channels ( Radio Tirana one , two , and three ) , Top Albania Radio and Plus two Radio .	The radio stations with nationwide coverage include the three public channels ( Radio Tirana 8 , 1 , and 2 ) , Top Albania Radio and Plus 8 Radio .
31085	none	The boat has a PHRF racing average handicap of 183 with a low of 198 and high of 180 .	none	The boat has a PHRF racing average handicap of one hundred and eighty-three with a low of one hundred and ninety-eight and high of one hundred and eighty .	The boat has a PHRF racing average handicap of 589 with a low of 931 and high of 169 .
31107	none	23 April 1975 : Derby County win the title after Ipswich Town can only draw 1 -- 1 with Manchester City .	none	23 April 1975 : Derby County win the title after Ipswich Town can only draw one -- one with Manchester City .	23 April 1975 : Derby County win the title after Ipswich Town can only draw 7 -- 3 with Manchester City .
31114	none	The first edition of the tournament won Ricardo Mello against Eduardo Schwank with 6 -- 4 , 6 -- 2 in the finals .	none	The first edition of the tournament won Ricardo Mello against Eduardo Schwank with six -- four , six -- two in the finals .	The first edition of the tournament won Ricardo Mello against Eduardo Schwank with 8 -- 9 , 5 -- 4 in the finals .
31136	none	" Point Blank 1.5 " was released in Singapore and Malaysia in January 2014 , published by Garena .	none	" Point Blank one point five " was released in Singapore and Malaysia in January 2014 , published by Garena .	" Point Blank 6.6 " was released in Singapore and Malaysia in January 2014 , published by Garena .
31146	none	The mountainous stage 20 of the Giro ended on the slopes of Les Deux Alpes , and the second stage began the next day on the mountain .	none	The mountainous stage twenty of the Giro ended on the slopes of Les Deux Alpes , and the second stage began the next day on the mountain .	The mountainous stage 36 of the Giro ended on the slopes of Les Deux Alpes , and the second stage began the next day on the mountain .
31158	none	These canons were later approved in 692 by the Eastern Council in Trullo , but rejected by Pope Constantine .	none	These canons were later approved in six hundred and ninety-two by the Eastern Council in Trullo , but rejected by Pope Constantine .	These canons were later approved in 873 by the Eastern Council in Trullo , but rejected by Pope Constantine .
31167	none	All 14 films were received in North America by Funimation , and all have licensed in-house dubs by the company .	none	All fourteen films were received in North America by Funimation , and all have licensed in-house dubs by the company .	All 37 films were received in North America by Funimation , and all have licensed in-house dubs by the company .
31170	none	In the November 1856 state elections , 81 Republicans , 31 Democrats , and 8 Americans were elected to the Assembly for the 1857 session .	none	In the November 1856 state elections , eighty-one Republicans , thirty-one Democrats , and eight Americans were elected to the Assembly for the 1857 session .	In the November 1856 state elections , 57 Republicans , 48 Democrats , and 9 Americans were elected to the Assembly for the 1857 session .
31179	none	For the 2011 season -- 12 Cowdenbeath were managed by Jimmy Nicholl , following the resignation of Colin Cameron at the end of the last season .	none	For the 2011 season -- twelve Cowdenbeath were managed by Jimmy Nicholl , following the resignation of Colin Cameron at the end of the last season .	For the 2011 season -- 97 Cowdenbeath were managed by Jimmy Nicholl , following the resignation of Colin Cameron at the end of the last season .
31192	none	They finished the season 10 -- 2 OVC and 7 -- 0 in total to win the conference championship .	none	They finished the season ten -- two OVC and seven -- zero in total to win the conference championship .	They finished the season 29 -- 6 OVC and 2 -- 4 in total to win the conference championship .
31199	none	With 26 of the team 's 41 points Carter started and the All Blacks finished their tour on the highest level .	none	With twenty-six of the team 's forty-one points Carter started and the All Blacks finished their tour on the highest level .	With 14 of the team 's 67 points Carter started and the All Blacks finished their tour on the highest level .
31202	none	In the United States , Scion was allocated 10,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 6,000 units .	none	In the United States , Scion was allocated ten thousand units of the 2013 model year ( MY13 ) production , while Subaru was limited to only six thousand units .	In the United States , Scion was allocated 87,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 8,000 units .
31214	none	The construction of the new stadium was held for 4 years and was inaugurated on 21 August 1974 .	none	The construction of the new stadium was held for four years and was inaugurated on 21 August 1974 .	The construction of the new stadium was held for 5 years and was inaugurated on 21 August 1974 .
31223	none	According to the U.S. Census Bureau , the county has a total area of , of which is land and ( 17.6 % ) is water .	none	According to the U.S. Census Bureau , the county has a total area of , of which is land and ( seventeen point six percent ) is water .	According to the U.S. Census Bureau , the county has a total area of , of which is land and ( 72.1 % ) is water .
31249	none	Neuqua Valley High School , along with three middle schools and 19 elementary schools from this district , are within Naperville city limits in the southern part .	none	Neuqua Valley High School , along with three middle schools and nineteen elementary schools from this district , are within Naperville city limits in the southern part .	Neuqua Valley High School , along with three middle schools and 58 elementary schools from this district , are within Naperville city limits in the southern part .
31274	none	Neelankarai is located on the Old Mahabalipuram Road ( State Highway 49 ) and is parallel to Thoraipakkam on the OMR ( East Coast Road ) .	none	Neelankarai is located on the Old Mahabalipuram Road ( State Highway forty-nine ) and is parallel to Thoraipakkam on the OMR ( East Coast Road ) .	Neelankarai is located on the Old Mahabalipuram Road ( State Highway 35 ) and is parallel to Thoraipakkam on the OMR ( East Coast Road ) .
31293	none	In 2015 it was renamed Philharmonie 2 as part of the Philharmonie de Paris when a larger symphony hall was built by Jean Nouvel and named Philharmonie 1 .	none	In 2015 it was renamed Philharmonie two as part of the Philharmonie de Paris when a larger symphony hall was built by Jean Nouvel and named Philharmonie one .	In 2015 it was renamed Philharmonie 4 as part of the Philharmonie de Paris when a larger symphony hall was built by Jean Nouvel and named Philharmonie 3 .
31310	none	Smith died in Grahamstown , Cape Province , in South Africa at the age of 76 .	none	Smith died in Grahamstown , Cape Province , in South Africa at the age of seventy-six .	Smith died in Grahamstown , Cape Province , in South Africa at the age of 73 .
31344	none	It runs from east to west for , serving 7 counties : Claiborne , Copiah , Hinds , Rankin , Smith , Jasper , and Clarke .	none	It runs from east to west for , serving seven counties : Claiborne , Copiah , Hinds , Rankin , Smith , Jasper , and Clarke .	It runs from east to west for , serving 3 counties : Claiborne , Copiah , Hinds , Rankin , Smith , Jasper , and Clarke .
31345	none	The park is 65 km northeast of Fianarantsoa and 139 km west of Mananjary in the regions of Haute Matsiatra and Vatovavy-Fitovinany .	none	The park is sixty-five km northeast of Fianarantsoa and one hundred and thirty-nine km west of Mananjary in the regions of Haute Matsiatra and Vatovavy-Fitovinany .	The park is 28 km northeast of Fianarantsoa and 468 km west of Mananjary in the regions of Haute Matsiatra and Vatovavy-Fitovinany .
31354	none	22.0 % were of German , 20.5 % Irish , 16.4 % Italian , 8.9 % Polish and 7.8 % English ancestry according to Census 2000 .	none	twenty-two percent were of German , twenty point five percent Irish , sixteen point four percent Italian , eight point nine percent Polish and seven point eight percent English ancestry according to Census 2000 .	36.4 % were of German , 81.2 % Irish , 72.5 % Italian , 1.1 % Polish and 2.3 % English ancestry according to Census 2000 .
31356	none	There is an Orang Asli museum in Melaka , and also in Gombak , about 25 km north of Kuala Lumpur .	none	There is an Orang Asli museum in Melaka , and also in Gombak , about twenty-five km north of Kuala Lumpur .	There is an Orang Asli museum in Melaka , and also in Gombak , about 43 km north of Kuala Lumpur .
31360	none	In ( 5 ) the first term of the right hand side , formula _ 27 is the increment in hydrostatic energy for unit volume change due to elastic pressure .	none	In ( five ) the first term of the right hand side , formula _ twenty-seven is the increment in hydrostatic energy for unit volume change due to elastic pressure .	In ( 3 ) the first term of the right hand side , formula _ 14 is the increment in hydrostatic energy for unit volume change due to elastic pressure .
31385	none	The population is 80 ( 2011 census ) , a village in the region of Slavonia in Croatia , located east of Daruvar .	none	The population is eighty ( 2011 census ) , a village in the region of Slavonia in Croatia , located east of Daruvar .	The population is 12 ( 2011 census ) , a village in the region of Slavonia in Croatia , located east of Daruvar .
31435	none	About 292 Bahraini observers from non-governmental organizations monitored the elections , though foreign observers were not allowed .	none	About two hundred and ninety-two Bahraini observers from non-governmental organizations monitored the elections , though foreign observers were not allowed .	About 742 Bahraini observers from non-governmental organizations monitored the elections , though foreign observers were not allowed .
31444	none	For the NdFeB magnet we can calculate the magnetic force ( MMF ) , the reluctance formula 4 and the magnetomotive flow over that magnet in the same way :	none	For the NdFeB magnet we can calculate the magnetic force ( MMF ) , the reluctance formula four and the magnetomotive flow over that magnet in the same way :	For the NdFeB magnet we can calculate the magnetic force ( MMF ) , the reluctance formula 8 and the magnetomotive flow over that magnet in the same way :
31465	none	From 1898 to 1902 , some 1,300 birds were imported from America and released in many parts of the North and South Islands , from Southland to Northland .	none	From 1898 to 1902 , some one thousand, three hundred birds were imported from America and released in many parts of the North and South Islands , from Southland to Northland .	From 1898 to 1902 , some 3,300 birds were imported from America and released in many parts of the North and South Islands , from Southland to Northland .
31535	none	When the membrane potential reaches approximately – 60 mV , the K channels close and the Na channels open and the prepotential phase begins again .	none	When the membrane potential reaches approximately – sixty mV , the K channels close and the Na channels open and the prepotential phase begins again .	When the membrane potential reaches approximately – 31 mV , the K channels close and the Na channels open and the prepotential phase begins again .
31550	none	In codice 5 the second file is codice 8 and in codice 4 the second file is codice 10 .	none	In codice five the second file is codice eight and in codice four the second file is codice ten .	In codice 7 the second file is codice 7 and in codice 7 the second file is codice 31 .
31552	none	For the next thirty years , Kriebel and Warner Sallman marketed over 100 Bates works .	none	For the next thirty years , Kriebel and Warner Sallman marketed over one hundred Bates works .	For the next thirty years , Kriebel and Warner Sallman marketed over 917 Bates works .
31613	none	The 1979 -- 80 NBA season was the 34th season of the National Basketball Association .	none	The 1979 -- eighty NBA season was the 34th season of the National Basketball Association .	The 1979 -- 18 NBA season was the 34th season of the National Basketball Association .
31635	none	Billie Jean King defeated Kerry Melville , 6 - 3 , 7 -- 5	none	Billie Jean King defeated Kerry Melville , six - three , seven -- five	Billie Jean King defeated Kerry Melville , 5 - 2 , 2 -- 9
31653	none	The season 1988 -- 89 National Basketball Association was the 43rd NBA season .	none	The season 1988 -- eighty-nine National Basketball Association was the 43rd NBA season .	The season 1988 -- 28 National Basketball Association was the 43rd NBA season .
31654	none	The fumarate - hydratase - gene , located on the long arm of chromosome 1 ( 1q42.3-43 ) , stretches over 22 kilobases and has 10 exons .	none	The fumarate - hydratase - gene , located on the long arm of chromosome one ( 1q42.3-43 ) , stretches over twenty-two kilobases and has ten exons .	The fumarate - hydratase - gene , located on the long arm of chromosome 3 ( 1q42.3-43 ) , stretches over 37 kilobases and has 28 exons .
31699	none	The new cable company announced that they would charge $ 10 for their service and $ 5 per month to connect to the signals .	none	The new cable company announced that they would charge ten dollars for their service and five dollars per month to connect to the signals .	The new cable company announced that they would charge $ 93 for their service and $ 6 per month to connect to the signals .
31717	none	He and his family moved from Colorado to Wyoming to Oregon until he was about 5 years old , when they settled in Silver Spring , Maryland .	none	He and his family moved from Colorado to Wyoming to Oregon until he was about five years old , when they settled in Silver Spring , Maryland .	He and his family moved from Colorado to Wyoming to Oregon until he was about 8 years old , when they settled in Silver Spring , Maryland .
31728	none	Andrei Pavel and Alexander Waske won in the final 6 -- 3 , 7 -- 6 , against Rafael Nadal and Bartolomé Salvá-Vidal .	none	Andrei Pavel and Alexander Waske won in the final six -- three , seven -- six , against Rafael Nadal and Bartolomé Salvá-Vidal .	Andrei Pavel and Alexander Waske won in the final 1 -- 4 , 2 -- 5 , against Rafael Nadal and Bartolomé Salvá-Vidal .
31739	none	Asbury is a rural community about 10 miles north of Pilot Mountain and 11 miles east of Mount Airy , 1.5 miles south of the border to Virginia .	none	Asbury is a rural community about ten miles north of Pilot Mountain and eleven miles east of Mount Airy , one point five miles south of the border to Virginia .	Asbury is a rural community about 34 miles north of Pilot Mountain and 51 miles east of Mount Airy , 3.9 miles south of the border to Virginia .
31752	none	Hangars 1 -- 4 were built on the south side of the administration building , while hangars 5 -- 8 were built on the north side .	none	Hangars one -- four were built on the south side of the administration building , while hangars five -- eight were built on the north side .	Hangars 3 -- 5 were built on the south side of the administration building , while hangars 8 -- 4 were built on the north side .
31766	none	It follows roughly I - 40 from Asheville to Canton and the US Route 74 , also known as Great Smoky Mountains Expressway , from Canton to Murphy .	none	It follows roughly I - forty from Asheville to Canton and the US Route seventy-four , also known as Great Smoky Mountains Expressway , from Canton to Murphy .	It follows roughly I - 43 from Asheville to Canton and the US Route 23 , also known as Great Smoky Mountains Expressway , from Canton to Murphy .
31793	none	Pandabeswar CD Block had 1 general college with 1,007 students , 257 institutions for special and non-formal education with 9,690 students	none	Pandabeswar CD Block had one general college with one thousand and seven students , two hundred and fifty-seven institutions for special and non-formal education with nine thousand, six hundred and ninety students	Pandabeswar CD Block had 8 general college with 6,007 students , 927 institutions for special and non-formal education with 4,690 students
31800	none	At the Ponce Grand Prix she had a national record of 9 : 39.36 minutes and then took the personal title at the USA Outdoor Track and Field Championships 2013 .	none	At the Ponce Grand Prix she had a national record of nine : thirty-nine point three six minutes and then took the personal title at the USA Outdoor Track and Field Championships 2013 .	At the Ponce Grand Prix she had a national record of 5 : 71.91 minutes and then took the personal title at the USA Outdoor Track and Field Championships 2013 .
31807	none	After harvesting bamboo it still changes size and shape , so it must rest for to 3 years after cutting it before it can be used .	none	After harvesting bamboo it still changes size and shape , so it must rest for to three years after cutting it before it can be used .	After harvesting bamboo it still changes size and shape , so it must rest for to 5 years after cutting it before it can be used .
31818	none	This course will be designed for younger Dunghutti adults in 2013 , and a certificate 2 course will be offered for a test run in 2014 .	none	This course will be designed for younger Dunghutti adults in 2013 , and a certificate two course will be offered for a test run in 2014 .	This course will be designed for younger Dunghutti adults in 2013 , and a certificate 9 course will be offered for a test run in 2014 .
31852	none	Jan Kodeæe defeated Ilie NÄ stase , 8 -- 6 , 6 -- 2 , 2 -- 6 , 7 -- 5 - 5	none	Jan Kodeæe defeated Ilie NÄ stase , eight -- six , six -- two , two -- six , seven -- five - five	Jan Kodeæe defeated Ilie NÄ stase , 6 -- 3 , 4 -- 5 , 5 -- 3 , 4 -- 1 - 2
31911	none	Mode 9 was born in Osun State on June 14 , 1975 as the third child of his parents but maintains , ( London ) as his origin .	none	Mode nine was born in Osun State on June 14 , 1975 as the third child of his parents but maintains , ( London ) as his origin .	Mode 1 was born in Osun State on June 14 , 1975 as the third child of his parents but maintains , ( London ) as his origin .
31921	none	According to the United States Census Bureau , Harmony Township has a total area of which is land , and 5.21 % is water .	none	According to the United States Census Bureau , Harmony Township has a total area of which is land , and five point two one percent is water .	According to the United States Census Bureau , Harmony Township has a total area of which is land , and 7.45 % is water .
31963	none	The 8 talukas of this district are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .	none	The eight talukas of this district are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .	The 2 talukas of this district are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .
31967	none	Support for HTML + , a proposed successor of HTML 2 , was developed while the specification was implemented .	none	Support for HTML + , a proposed successor of HTML two , was developed while the specification was implemented .	Support for HTML + , a proposed successor of HTML 9 , was developed while the specification was implemented .
32008	none	Edward J. McKenna was a professional baseball player who played in 32 games for the 1884 Union Association of the Washington Nationals .	none	Edward J. McKenna was a professional baseball player who played in thirty-two games for the 1884 Union Association of the Washington Nationals .	Edward J. McKenna was a professional baseball player who played in 61 games for the 1884 Union Association of the Washington Nationals .
32013	none	The venue has two stages , a main stage ( capacity 300 people ) and a small stage ( capacity 1100 people ) .	none	The venue has two stages , a main stage ( capacity three hundred people ) and a small stage ( capacity 1100 people ) .	The venue has two stages , a main stage ( capacity 568 people ) and a small stage ( capacity 1100 people ) .
32014	none	Laboratory with 18 manually operated sewing machines and an electrically operated sewing machine	none	Laboratory with eighteen manually operated sewing machines and an electrically operated sewing machine	Laboratory with 61 manually operated sewing machines and an electrically operated sewing machine
32061	none	Kissell was signed as an infielder in 1940 by Branch Rickey , and spent 69 years with the Cardinals organization .	none	Kissell was signed as an infielder in 1940 by Branch Rickey , and spent sixty-nine years with the Cardinals organization .	Kissell was signed as an infielder in 1940 by Branch Rickey , and spent 93 years with the Cardinals organization .
32088	none	Smith died in South Africa , in Grahamstown , Cape Province at the age of 76 .	none	Smith died in South Africa , in Grahamstown , Cape Province at the age of seventy-six .	Smith died in South Africa , in Grahamstown , Cape Province at the age of 28 .
32096	none	The 500 Hispanic settlers who had lived near Los Adaes had to relocate in 1773 in San Antonio .	none	The five hundred Hispanic settlers who had lived near Los Adaes had to relocate in 1773 in San Antonio .	The 326 Hispanic settlers who had lived near Los Adaes had to relocate in 1773 in San Antonio .
32104	none	Colchester won 2 -- 0 with goals from coming from Jabo Ibehre on his second debut for the club and Freddie Sears .	none	Colchester won two -- zero with goals from coming from Jabo Ibehre on his second debut for the club and Freddie Sears .	Colchester won 6 -- 5 with goals from coming from Jabo Ibehre on his second debut for the club and Freddie Sears .
32125	none	The season 1979 -- 80 National Basketball Association was the 34th NBA season .	none	The season 1979 -- eighty National Basketball Association was the 34th NBA season .	The season 1979 -- 64 National Basketball Association was the 34th NBA season .
32161	none	In Japan there is a region of 1080p Blu-ray with English Dolby TrueHD 2.0 track available .	none	In Japan there is a region of 1080p Blu-ray with English Dolby TrueHD two track available .	In Japan there is a region of 1080p Blu-ray with English Dolby TrueHD 9.8 track available .
32176	none	In 1963 , Vogel founded Bioforce AG in Roggwil in Thurgau , Switzerland , and died in 1996 at the age of 94 in Feusisberg .	none	In 1963 , Vogel founded Bioforce AG in Roggwil in Thurgau , Switzerland , and died in 1996 at the age of ninety-four in Feusisberg .	In 1963 , Vogel founded Bioforce AG in Roggwil in Thurgau , Switzerland , and died in 1996 at the age of 18 in Feusisberg .
32188	none	He needed a good lead on Russell Prince , who was considered the stronger mountain runner , and Saggers had a lead of 2 min 29 sec .	none	He needed a good lead on Russell Prince , who was considered the stronger mountain runner , and Saggers had a lead of two min twenty-nine sec .	He needed a good lead on Russell Prince , who was considered the stronger mountain runner , and Saggers had a lead of 5 min 84 sec .
32206	none	The Pittsburgh Frank & Seder was expanded in 1913 , but destroyed by fire in 1917 at a loss of $ 600,000 ; its replacement was completed in 1918 .	none	The Pittsburgh Frank & Seder was expanded in 1913 , but destroyed by fire in 1917 at a loss of six hundred thousand dollars ; its replacement was completed in 1918 .	The Pittsburgh Frank & Seder was expanded in 1913 , but destroyed by fire in 1917 at a loss of $ 275,000 ; its replacement was completed in 1918 .
32258	none	He and his family moved from Colorado to Wyoming to Oregon until he was about 5 years old , when they settled in Silver Spring , Maryland .	none	He and his family moved from Colorado to Wyoming to Oregon until he was about five years old , when they settled in Silver Spring , Maryland .	He and his family moved from Colorado to Wyoming to Oregon until he was about 3 years old , when they settled in Silver Spring , Maryland .
32284	none	Here formula 2 , the dependent variance , is a time-instantaneous CIR process :	none	Here formula two , the dependent variance , is a time-instantaneous CIR process :	Here formula 6 , the dependent variance , is a time-instantaneous CIR process :
32285	none	He added 105 performances in La Liga in a 19-year second career , with the Senior Club as well as Deportivo .	none	He added one hundred and five performances in La Liga in a 19-year second career , with the Senior Club as well as Deportivo .	He added 298 performances in La Liga in a 19-year second career , with the Senior Club as well as Deportivo .
32289	none	It is the biggest private club in Houston and one of the largest in the world , with over 3,300 members .	none	It is the biggest private club in Houston and one of the largest in the world , with over three thousand, three hundred members .	It is the biggest private club in Houston and one of the largest in the world , with over 6,300 members .
32292	none	Wright was from 1800 -- 04 British Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .	none	Wright was from 1800 -- four British Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .	Wright was from 1800 -- 89 British Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .
32293	none	Fernando González defeated Gastón Gaudio 6 - 3 , 6 - 4	none	Fernando González defeated Gastón Gaudio six - three , six - four	Fernando González defeated Gastón Gaudio 3 - 7 , 5 - 1
32294	none	Graves was born in Virginia and grew up near Yelvington , Kentucky , about 12 miles east of Owensboro , Kentucky on KY Hwy 144 .	none	Graves was born in Virginia and grew up near Yelvington , Kentucky , about twelve miles east of Owensboro , Kentucky on KY Hwy one hundred and forty-four .	Graves was born in Virginia and grew up near Yelvington , Kentucky , about 75 miles east of Owensboro , Kentucky on KY Hwy 347 .
32299	none	Among the remaining 16 shareholders were Joseph Stenger ( 75 shares ) , George Truog ( 30 shares ) and Frances Bannister ( 8 shares ) .	none	Among the remaining sixteen shareholders were Joseph Stenger ( seventy-five shares ) , George Truog ( thirty shares ) and Frances Bannister ( eight shares ) .	Among the remaining 26 shareholders were Joseph Stenger ( 12 shares ) , George Truog ( 31 shares ) and Frances Bannister ( 3 shares ) .
32324	none	They manufactured an even bigger truck , with a 9.8 litre engine , and trialled a motor bus .	none	They manufactured an even bigger truck , with a nine point eight litre engine , and trialled a motor bus .	They manufactured an even bigger truck , with a 4.4 litre engine , and trialled a motor bus .
32360	none	The codice _ 2 branch gets updated daily , and the codice _ 3 branch is updated for every 6 months .	none	The codice _ two branch gets updated daily , and the codice _ three branch is updated for every six months .	The codice _ 7 branch gets updated daily , and the codice _ 6 branch is updated for every 1 months .
32378	none	From 1800 -- 04 Wright was British Consul - General for the Republic of the Ionian Islands ( Seven Islands ) .	none	From 1800 -- four Wright was British Consul - General for the Republic of the Ionian Islands ( Seven Islands ) .	From 1800 -- 76 Wright was British Consul - General for the Republic of the Ionian Islands ( Seven Islands ) .
32384	none	Regoul is a small rural hamlet , located 4.5 miles south of Nairn , in Nairnshire , Scottish Highlands and is in the Scottish council area of Highland .	none	Regoul is a small rural hamlet , located four point five miles south of Nairn , in Nairnshire , Scottish Highlands and is in the Scottish council area of Highland .	Regoul is a small rural hamlet , located 6.9 miles south of Nairn , in Nairnshire , Scottish Highlands and is in the Scottish council area of Highland .
32401	none	It is about 100 km from Auckland 's Northern Motorway , and around 75 nautical miles from the Ports of Auckland .	none	It is about one hundred km from Auckland 's Northern Motorway , and around seventy-five nautical miles from the Ports of Auckland .	It is about 459 km from Auckland 's Northern Motorway , and around 94 nautical miles from the Ports of Auckland .
32418	none	Saghar has written over 2,000 songs for many singers and music directors for Pakistani films , radio and TV .	none	Saghar has written over two thousand songs for many singers and music directors for Pakistani films , radio and TV .	Saghar has written over 6,000 songs for many singers and music directors for Pakistani films , radio and TV .
32429	none	According to the United States Census Bureau , Waverly Township has a total area of , of which is land and , or 9.21 % , is water .	none	According to the United States Census Bureau , Waverly Township has a total area of , of which is land and , or nine point two one percent , is water .	According to the United States Census Bureau , Waverly Township has a total area of , of which is land and , or 3.73 % , is water .
32430	none	Steve Davis won in the final 9 -- 8 against Terry Griffiths .	none	Steve Davis won in the final nine -- eight against Terry Griffiths .	Steve Davis won in the final 6 -- 9 against Terry Griffiths .
32455	none	Napier was named after Sir Mellis Napier , who was Chief Justice of South Australia for 25 years and a total of 43 years in the Supreme Court .	none	Napier was named after Sir Mellis Napier , who was Chief Justice of South Australia for twenty-five years and a total of forty-three years in the Supreme Court .	Napier was named after Sir Mellis Napier , who was Chief Justice of South Australia for 81 years and a total of 26 years in the Supreme Court .
32480	none	Rafikov made his Kontinental Hockey League debut during the 2015 -- 16 KHL season .	none	Rafikov made his Kontinental Hockey League debut during the 2015 -- sixteen KHL season .	Rafikov made his Kontinental Hockey League debut during the 2015 -- 53 KHL season .
32497	none	At the North West 200 Keith Amor were the first winners in the 125cc race and Paul Robinson in the 1000cc Superstock Race .	none	At the North West two hundred Keith Amor were the first winners in the 125cc race and Paul Robinson in the 1000cc Superstock Race .	At the North West 429 Keith Amor were the first winners in the 125cc race and Paul Robinson in the 1000cc Superstock Race .
32507	none	The 1987 -- 88 Toto Cup Artzit was the second season of the 4th League Cup since its launch .	none	The 1987 -- eighty-eight Toto Cup Artzit was the second season of the 4th League Cup since its launch .	The 1987 -- 12 Toto Cup Artzit was the second season of the 4th League Cup since its launch .
32578	none	However , the new algorithm would divide the original interval into a larger and a smaller part interval in step 4 .	none	However , the new algorithm would divide the original interval into a larger and a smaller part interval in step four .	However , the new algorithm would divide the original interval into a larger and a smaller part interval in step 5 .
32589	none	Tommy Haas defeated Xavier Malisse 6 -- 3 , 3 -- 6 , 7 - 6 .	none	Tommy Haas defeated Xavier Malisse six -- three , three -- six , seven - six .	Tommy Haas defeated Xavier Malisse 3 -- 8 , 9 -- 8 , 1 - 1 .
